start,end,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
80.0,81.0,-78.7,-91.06,-84.15,
81.0,82.0,-82.0,-86.85,-80.2,
82.0,83.0,-93.18,-76.65,-84.56,
83.0,84.0,-80.06,-72.7,-87.65,
84.0,85.0,-82.8,-69.85,-94.5,
85.0,86.0,-90.47,-69.5,-93.87,
86.0,87.0,,-67.5,,
87.0,88.0,,-66.9,,
88.0,89.0,,-63.3,,
89.0,90.0,-101.4,-66.65,-94.0,
90.0,91.0,-103.0,-67.95,-98.12,
91.0,92.0,,-67.3,-95.57,
92.0,93.0,,-74.25,-97.0,
93.0,94.0,,-72.0,,
94.0,95.0,,-70.5,,
95.0,96.0,,-71.85,,
96.0,97.0,,-70.65,,
97.0,98.0,,-73.95,,
98.0,99.0,,-67.65,,
99.0,100.0,,-66.65,-102.0,
100.0,101.0,,-64.85,-102.0,
101.0,102.0,-97.8,-68.4,-93.11,
102.0,103.0,-104.0,-77.7,-89.25,
103.0,104.0,-101.0,-77.35,-93.8,
104.0,105.0,,-71.79,,
105.0,106.0,-104.0,-74.0,-100.0,
106.0,107.0,,-69.8,,
107.0,108.0,,-69.0,-100.0,
108.0,109.0,-101.0,-68.2,-99.0,
109.0,110.0,-101.0,-73.0,,
110.0,111.0,-101.5,-70.0,,
111.0,112.0,-97.67,-70.4,,
112.0,113.0,,-75.0,-98.5,
113.0,114.0,,-76.2,,
114.0,115.0,-101.0,-78.2,-100.0,
115.0,116.0,,-73.0,-96.0,
116.0,117.0,,-74.4,-96.0,
117.0,118.0,-101.0,-74.4,,
118.0,119.0,,-77.4,,
119.0,120.0,,-73.8,,
120.0,121.0,,-68.2,,
121.0,122.0,-97.0,-66.2,,
122.0,123.0,,-68.4,,
123.0,124.0,,-65.8,,
124.0,125.0,,-67.4,,
125.0,126.0,,-65.6,,
126.0,127.0,,-69.6,,
127.0,128.0,,-70.6,,
128.0,129.0,,-66.0,,
129.0,130.0,,-68.4,,
130.0,131.0,,-69.4,,
131.0,132.0,,-69.6,,
132.0,133.0,,-68.6,,
133.0,134.0,,-68.4,,
134.0,135.0,,-68.4,,
135.0,136.0,,-68.4,,
136.0,137.0,,-68.4,,
137.0,138.0,,-68.4,,
138.0,139.0,,-68.6,,
139.0,140.0,,-67.0,,
140.0,141.0,,-67.0,-96.0,
141.0,142.0,,-65.4,,
142.0,143.0,,-65.8,,
143.0,144.0,,-65.2,,
144.0,145.0,,-65.42,,
145.0,146.0,,-69.4,,
146.0,147.0,,-66.0,,
147.0,148.0,,-69.4,,
148.0,149.0,,-71.0,,
149.0,150.0,,-69.0,,
150.0,151.0,,-68.6,,
151.0,152.0,,-72.4,,
152.0,153.0,,-72.4,,
153.0,154.0,,-71.2,,
154.0,155.0,,-73.8,-102.0,
155.0,156.0,,-72.4,-99.5,
156.0,157.0,-95.07,-71.25,-92.8,
157.0,158.0,-95.1,-69.85,-98.33,
158.0,159.0,-96.0,-70.2,-98.5,
159.0,160.0,-105.0,-73.6,-96.89,
160.0,161.0,-97.53,-73.0,-101.0,
161.0,162.0,-101.8,-71.9,,
162.0,163.0,-99.0,-72.35,,
163.0,164.0,-98.0,-73.0,,
164.0,165.0,-99.45,-73.0,-98.0,
165.0,166.0,-99.6,-71.67,-100.29,
166.0,167.0,,-70.91,-100.25,
167.0,168.0,,-76.25,-97.75,
168.0,169.0,-100.0,-74.5,-96.92,
169.0,170.0,-101.6,-73.75,-95.83,
170.0,171.0,-101.36,-74.6,-91.62,
171.0,172.0,-101.0,-72.3,-97.33,
172.0,173.0,,-75.15,,
173.0,174.0,,-69.8,-99.0,
174.0,175.0,,-72.45,,
175.0,176.0,,-72.75,-97.0,
176.0,177.0,,-72.8,-99.0,
177.0,178.0,,-71.65,-98.4,
178.0,179.0,,-70.1,-100.0,
179.0,180.0,,-68.25,,
180.0,181.0,,-70.5,,
181.0,182.0,,-70.75,-103.0,
182.0,183.0,,-72.8,-103.0,
183.0,184.0,,-72.3,,
184.0,185.0,,-71.1,,
185.0,186.0,,-68.95,,
186.0,187.0,,-64.4,,
187.0,188.0,,-66.9,,
188.0,189.0,,-66.6,,
189.0,190.0,,-67.35,-101.0,
190.0,191.0,,-73.35,,
191.0,192.0,,-71.1,,
192.0,193.0,,-71.2,,
193.0,194.0,,-71.55,,
194.0,195.0,,-67.4,,
195.0,196.0,,-65.7,,
196.0,197.0,,-68.55,,
197.0,198.0,,-69.45,,
198.0,199.0,,-69.45,,
199.0,200.0,,-68.9,,
200.0,201.0,,-65.6,,
201.0,202.0,,-69.6,,
202.0,203.0,,-72.15,,
203.0,204.0,,-73.5,,
204.0,205.0,-101.0,-69.4,,
205.0,206.0,-96.56,-76.7,-95.5,
206.0,207.0,,-73.05,,
207.0,208.0,,-72.9,,
208.0,209.0,,-80.75,,
209.0,210.0,,-80.16,,
210.0,211.0,,-70.3,-103.0,
211.0,212.0,-97.4,-71.0,-89.67,
212.0,213.0,-91.89,-72.1,-93.57,
213.0,214.0,-92.67,-70.1,-98.0,
214.0,215.0,-93.0,-69.8,-96.67,
215.0,216.0,-93.0,-71.4,-98.12,
216.0,217.0,-94.4,-73.9,-95.29,
217.0,218.0,-94.8,-72.12,-93.0,
218.0,219.0,-94.0,-74.5,-93.3,
219.0,220.0,-94.4,-72.3,-90.0,
220.0,221.0,-94.0,-72.3,-93.5,
221.0,222.0,-94.0,-72.9,-89.33,
222.0,223.0,-102.0,-71.2,-95.7,
223.0,224.0,,-74.0,-101.0,
224.0,225.0,,-76.1,,
225.0,226.0,,-78.4,-98.5,
226.0,227.0,,-79.5,,
227.0,228.0,,-78.6,-98.0,
228.0,229.0,,-72.8,-96.5,
229.0,230.0,,-74.2,-102.0,
230.0,231.0,,-71.1,,
231.0,232.0,,-68.5,,
232.0,233.0,,-70.1,,
233.0,234.0,,-71.84,,
234.0,235.0,,-70.9,,
235.0,236.0,,-67.2,,
236.0,237.0,,-68.6,,
237.0,238.0,,-70.0,,
238.0,239.0,,-66.6,-105.0,
239.0,240.0,,-63.8,,
240.0,241.0,,-70.5,,
241.0,242.0,,-72.5,,
242.0,243.0,,-69.7,,
243.0,244.0,,-67.9,,
244.0,245.0,,-70.6,,
245.0,246.0,,-70.5,,
246.0,247.0,,-66.7,,
247.0,248.0,,-73.3,,
248.0,249.0,,-72.7,,
249.0,250.0,,-73.0,,
250.0,251.0,,-72.2,,
251.0,252.0,,-69.0,,
252.0,253.0,,-65.2,,
253.0,254.0,,-68.1,,
254.0,255.0,,-68.5,,
255.0,256.0,,-66.2,,
256.0,257.0,,-67.6,,
257.0,258.0,,-66.3,,
258.0,259.0,,-71.7,,
259.0,260.0,,-70.8,,
260.0,261.0,,-70.0,,
261.0,262.0,,-72.21,,
262.0,263.0,,-71.35,,
263.0,264.0,,-71.15,,
264.0,265.0,,-72.3,,
265.0,266.0,,-73.7,,
266.0,267.0,,-74.0,-105.0,
267.0,268.0,,-72.6,-98.33,
268.0,269.0,,-78.08,-95.5,
269.0,270.0,,-75.5,,
270.0,271.0,,-75.35,-94.0,
271.0,272.0,-103.0,-74.35,-98.0,
272.0,273.0,,-77.45,,
273.0,274.0,,-77.8,,
274.0,275.0,,-77.15,,
275.0,276.0,,-79.0,,
276.0,277.0,,-75.4,,
277.0,278.0,-97.0,-70.25,,
278.0,279.0,-97.0,-73.05,-98.54,
279.0,280.0,,-72.1,-97.53,
280.0,281.0,,-71.2,-99.0,
281.0,282.0,,-70.55,-95.54,
282.0,283.0,,-74.15,-98.19,
283.0,284.0,,-72.45,-100.43,
284.0,285.0,,-72.75,-100.0,
285.0,286.0,,-69.35,,
286.0,287.0,-104.0,-71.5,,
287.0,288.0,-104.0,-64.85,,
288.0,289.0,,-67.85,-94.0,
289.0,290.0,-103.0,-71.55,-95.71,
290.0,291.0,,-71.0,,
291.0,292.0,,-73.0,,
292.0,293.0,,-71.0,,
293.0,294.0,,-71.4,,
294.0,295.0,,-74.8,,
295.0,296.0,-103.0,-71.8,,
296.0,297.0,,-69.45,,
297.0,298.0,,-71.65,,
298.0,299.0,,-70.75,,
299.0,300.0,,-67.35,,
300.0,301.0,,-70.3,,
301.0,302.0,,-69.6,,
302.0,303.0,,-69.2,,
303.0,304.0,,-67.1,,
304.0,305.0,,-66.2,,
305.0,306.0,,-66.15,,
306.0,307.0,,-63.15,,
307.0,308.0,,-66.2,,
308.0,309.0,,-65.5,,
309.0,310.0,,-66.8,,
310.0,311.0,,-67.1,,
311.0,312.0,,-69.0,,
312.0,313.0,,-64.7,,
313.0,314.0,,-66.16,,
314.0,315.0,,-60.0,,
315.0,316.0,,-58.2,,
316.0,317.0,,-63.2,,
317.0,318.0,,-69.0,,
318.0,319.0,,-73.8,,
319.0,320.0,,-73.4,,
320.0,321.0,,-72.5,,
321.0,322.0,,-74.6,-104.0,
322.0,323.0,,-70.6,-102.0,
323.0,324.0,-90.5,-69.4,-98.5,
324.0,325.0,-92.0,-74.2,-92.4,
325.0,326.0,,-77.25,-96.6,
326.0,327.0,-98.0,-79.0,-93.75,
327.0,328.0,-100.0,-86.0,-99.33,
328.0,329.0,,-75.0,-93.2,
329.0,330.0,,-69.6,-89.8,
330.0,331.0,,-70.5,-90.0,
331.0,332.0,,-70.0,-90.2,
332.0,333.0,,-71.6,-91.2,
333.0,334.0,-97.0,-71.2,-90.6,
334.0,335.0,-90.4,-74.8,-90.8,
335.0,336.0,-89.0,-75.4,-93.4,
336.0,337.0,,-73.8,-94.0,
337.0,338.0,,-69.8,-94.8,
338.0,339.0,,-69.4,-93.8,
339.0,340.0,,-75.0,-98.33,
340.0,341.0,,-76.0,-97.5,
341.0,342.0,,-76.0,,
342.0,343.0,,-69.0,-103.0,
343.0,344.0,,-68.8,,
344.0,345.0,,-71.0,,
345.0,346.0,,-71.4,-96.5,
346.0,347.0,,-67.6,,
347.0,348.0,,-72.0,,
348.0,349.0,,-69.2,-98.0,
349.0,350.0,,-71.8,-99.0,
350.0,351.0,,-66.2,,
351.0,352.0,,-70.4,,
352.0,353.0,,-72.8,,
353.0,354.0,,-71.4,,
354.0,355.0,,-66.8,,
355.0,356.0,,-69.8,,
356.0,357.0,,-70.0,,
357.0,358.0,,-69.4,,
358.0,359.0,,-69.6,,
359.0,360.0,,-71.2,,
360.0,361.0,,-70.0,,
361.0,362.0,,-66.0,,
362.0,363.0,,-65.6,,
363.0,364.0,,-66.4,,
364.0,365.0,,-67.8,,
365.0,366.0,,-69.71,,
366.0,367.0,,-69.55,,
367.0,368.0,,-68.8,,
368.0,369.0,,-64.45,,
369.0,370.0,-102.0,-71.4,,
370.0,371.0,,-69.0,,
371.0,372.0,,-69.56,,
372.0,373.0,,-67.95,,
373.0,374.0,,-76.25,-96.0,
374.0,375.0,,-78.0,,
375.0,376.0,,-69.5,,
376.0,377.0,,-70.6,-103.0,
377.0,378.0,,-73.7,,
378.0,379.0,,-70.05,,
379.0,380.0,,-70.25,,
380.0,381.0,,-68.3,-99.36,
381.0,382.0,,-73.62,-94.25,
382.0,383.0,,-79.1,-96.0,
383.0,384.0,-100.5,-83.7,,
384.0,385.0,-99.0,-75.5,-98.0,
385.0,386.0,,-80.6,,
386.0,387.0,,-83.31,,
387.0,388.0,,-75.6,,
388.0,389.0,,-75.6,,
389.0,390.0,,-75.85,,
390.0,391.0,,-80.74,,
391.0,392.0,,-79.55,,
392.0,393.0,,-81.15,,
393.0,394.0,,-80.45,,
394.0,395.0,,-79.85,,
395.0,396.0,,-80.15,,
396.0,397.0,,-77.9,,
397.0,398.0,,-75.45,,
398.0,399.0,,-72.75,,
399.0,400.0,,-67.8,,
400.0,401.0,,-69.05,-100.0,
401.0,402.0,,-67.65,,
402.0,403.0,,-66.3,,
403.0,404.0,,-67.65,,
404.0,405.0,,-70.15,,
405.0,406.0,,-68.5,,
406.0,407.0,,-70.95,,
407.0,408.0,,-69.35,,
408.0,409.0,,-68.9,,
409.0,410.0,,-68.0,,
410.0,411.0,,-68.8,,
411.0,412.0,,-63.7,-92.86,
412.0,413.0,-90.0,-65.25,-92.17,
413.0,414.0,-104.0,-66.95,-91.69,
414.0,415.0,-98.0,-67.05,,
415.0,416.0,-97.11,-67.0,-102.0,
416.0,417.0,,-63.65,-102.0,
417.0,418.0,,-75.58,,
418.0,419.0,,-70.6,-105.0,
419.0,420.0,,-67.3,,
420.0,421.0,-93.67,-73.6,-89.0,
421.0,422.0,-82.2,-81.5,-79.9,
422.0,423.0,-71.88,-89.88,-72.75,
423.0,424.0,-71.7,-89.86,-73.5,
424.0,425.0,-69.0,,-72.9,
425.0,426.0,-62.9,,-77.5,
426.0,427.0,-72.0,,-76.5,
427.0,428.0,-75.0,,-77.9,
428.0,429.0,-77.7,,-79.1,
429.0,430.0,-72.2,,-82.0,
430.0,431.0,-72.2,-103.0,-83.6,
431.0,432.0,-68.7,,,
432.0,433.0,-68.9,,-101.0,
433.0,434.0,-70.5,,,
434.0,435.0,-72.9,,,
435.0,436.0,-75.1,,,
436.0,437.0,-73.3,,,
437.0,438.0,-72.7,,,
438.0,439.0,-81.7,,,
439.0,440.0,-80.1,,,
440.0,441.0,-77.3,,,
441.0,442.0,-72.6,,,
442.0,443.0,-70.6,,,
443.0,444.0,-70.3,,,
444.0,445.0,-71.3,,,
445.0,446.0,-74.0,,,
446.0,447.0,-72.6,,,
447.0,448.0,-70.3,,,
448.0,449.0,-72.9,,,
449.0,450.0,-73.6,,,
450.0,451.0,-76.3,,,
451.0,452.0,-72.2,,,
452.0,453.0,-63.8,,,
453.0,454.0,-61.6,,,
454.0,455.0,-59.5,,,
455.0,456.0,-59.6,,,
456.0,457.0,-66.1,,,
457.0,458.0,-65.0,,,
458.0,459.0,-67.6,,,
459.0,460.0,-69.4,,,
460.0,461.0,-70.5,,,
461.0,462.0,-65.4,,,
462.0,463.0,-72.0,,,
463.0,464.0,-70.2,,-100.67,
464.0,465.0,-69.4,,-103.0,
465.0,466.0,-71.22,,,
466.0,467.0,-81.0,,-98.0,
467.0,468.0,-73.2,,-97.0,
468.0,469.0,-67.5,,-96.83,
469.0,470.0,-67.0,,-89.84,
470.0,471.0,-71.8,,-93.69,
471.0,472.0,-70.1,,-95.25,
472.0,473.0,-71.3,,-97.0,
473.0,474.0,-72.25,,,
474.0,475.0,-71.89,,,
475.0,476.0,-77.19,,,
476.0,477.0,-71.9,,,
477.0,478.0,-75.2,,,
478.0,479.0,-79.6,,,
479.0,480.0,-101.27,,,
480.0,481.0,-93.46,,,
481.0,482.0,-90.05,,,
482.0,483.0,-81.55,,,
483.0,484.0,-78.8,,,
484.0,485.0,-73.6,,,
485.0,486.0,-75.75,,,
486.0,487.0,-73.05,,,
487.0,488.0,-73.95,,,
488.0,489.0,-73.55,,,
489.0,490.0,-70.85,,,
490.0,491.0,-72.45,,,
491.0,492.0,-72.1,,,
492.0,493.0,-73.4,,,
493.0,494.0,-75.15,,,
494.0,495.0,-73.2,,,
495.0,496.0,-73.05,,,
496.0,497.0,-75.45,,,
497.0,498.0,-73.05,,,
498.0,499.0,-72.7,,,
499.0,500.0,-72.58,,,
500.0,501.0,-72.55,,,
501.0,502.0,-62.9,,,
502.0,503.0,-64.05,,,
503.0,504.0,-60.05,,,
504.0,505.0,-61.2,,,
505.0,506.0,-58.85,,-104.0,
506.0,507.0,-70.2,,-100.57,
507.0,508.0,-70.6,,,
508.0,509.0,-68.2,,,
509.0,510.0,-68.35,,,
510.0,511.0,-69.7,,,
511.0,512.0,-74.0,,,
512.0,513.0,-73.55,,,
513.0,514.0,-72.3,,,
514.0,515.0,-72.9,,,
515.0,516.0,-73.1,,,
516.0,517.0,-73.3,,,
517.0,518.0,-73.4,,,
518.0,519.0,-72.3,,,
519.0,520.0,-73.0,,,
520.0,521.0,-74.2,,,
521.0,522.0,-73.53,,,
522.0,523.0,-70.6,,,
523.0,524.0,-70.0,,,
524.0,525.0,-67.4,,,
525.0,526.0,-69.25,,,
526.0,527.0,-70.4,,,
527.0,528.0,-70.6,,,
528.0,529.0,-71.8,,,
529.0,530.0,-75.6,,,
530.0,531.0,-71.4,,,
531.0,532.0,-72.4,,,
532.0,533.0,-69.8,,,
533.0,534.0,-72.8,,,
534.0,535.0,-73.6,,,
535.0,536.0,-70.4,,,
536.0,537.0,-70.8,,,
537.0,538.0,-69.8,,,
538.0,539.0,-71.8,,,
539.0,540.0,-72.8,,,
540.0,541.0,-72.4,,,
541.0,542.0,-75.8,,,
542.0,543.0,-76.8,,,
543.0,544.0,-73.8,,,
544.0,545.0,-70.8,,,
545.0,546.0,-70.8,,,
546.0,547.0,-70.0,,,
547.0,548.0,-71.2,,,
548.0,549.0,-70.4,,,
549.0,550.0,-72.8,,,
550.0,551.0,-69.4,,,
551.0,552.0,-71.6,,,
552.0,553.0,-72.2,,,
553.0,554.0,-69.2,,,
554.0,555.0,-74.6,,,
555.0,556.0,-74.4,,,
556.0,557.0,-73.2,,,
557.0,558.0,-71.6,,,
558.0,559.0,-72.2,,,
559.0,560.0,-72.2,,,
560.0,561.0,-72.4,,,
561.0,562.0,-72.2,,,
562.0,563.0,-73.6,,,
563.0,564.0,-77.0,,,
564.0,565.0,-73.4,,,
565.0,566.0,-73.2,,,
566.0,567.0,-72.0,,,
567.0,568.0,-70.8,,,
568.0,569.0,-73.0,,,
569.0,570.0,-71.4,,,
570.0,571.0,-71.2,,,
571.0,572.0,-69.2,,,
572.0,573.0,-72.4,,,
573.0,574.0,-71.2,,,
574.0,575.0,-69.75,,,
575.0,576.0,-70.95,,,
576.0,577.0,-71.88,,,
577.0,578.0,-69.7,,,
578.0,579.0,-71.1,,,
579.0,580.0,-71.55,,,
580.0,581.0,-75.95,,,
581.0,582.0,-78.25,,,
582.0,583.0,-80.05,,,
583.0,584.0,-75.7,,,
584.0,585.0,-75.05,,,
585.0,586.0,-74.05,,,
586.0,587.0,-72.4,,,
587.0,588.0,-70.9,,,
588.0,589.0,-70.25,,,
589.0,590.0,-72.55,,,
590.0,591.0,-75.0,,,
591.0,592.0,-71.95,,,
592.0,593.0,-73.65,,,
593.0,594.0,-73.8,,,
594.0,595.0,-76.25,,,
595.0,596.0,-73.5,,,
596.0,597.0,-72.25,,,
597.0,598.0,-71.2,,,
598.0,599.0,-75.15,,,
599.0,600.0,-73.21,,,
600.0,601.0,-72.95,,,
601.0,602.0,-73.35,,,
602.0,603.0,-72.0,,,
603.0,604.0,-71.55,,,
604.0,605.0,-75.55,,,
605.0,606.0,-72.7,,,
606.0,607.0,-71.0,,,
607.0,608.0,-70.65,,,
608.0,609.0,-70.5,,,
609.0,610.0,-71.65,,,
610.0,611.0,-71.0,,,
611.0,612.0,-71.0,,,
612.0,613.0,-71.65,,,
613.0,614.0,-67.95,,,
614.0,615.0,-60.05,,-98.29,
615.0,616.0,-71.05,,-81.7,
616.0,617.0,-74.2,,-79.15,
617.0,618.0,-70.1,-100.0,-87.0,
618.0,619.0,-69.95,,,
619.0,620.0,-73.2,,,
620.0,621.0,-71.8,,,
621.0,622.0,-73.05,,,
622.0,623.0,-65.25,,,
623.0,624.0,-62.1,,,
624.0,625.0,-62.5,,-95.07,
625.0,626.0,-77.65,,-79.5,
626.0,627.0,-85.11,,-78.53,
627.0,628.0,-88.25,,-74.88,
628.0,629.0,-88.4,-102.4,-79.6,
629.0,630.0,-87.8,-96.67,-82.6,
630.0,631.0,-93.17,-91.8,-84.7,
631.0,632.0,-94.5,-77.0,-87.25,
632.0,633.0,-94.22,-70.2,-89.38,
633.0,634.0,,-68.9,-91.6,
634.0,635.0,,-71.3,-98.0,
635.0,636.0,,-71.6,-99.0,
636.0,637.0,,-71.6,-99.0,
637.0,638.0,,-71.4,-94.5,
638.0,639.0,,-70.7,-89.9,
639.0,640.0,,-73.0,-98.4,
640.0,641.0,,-77.3,-94.22,
641.0,642.0,-101.2,-74.3,-87.38,
642.0,643.0,-98.67,-76.1,-87.5,
643.0,644.0,-96.0,-71.4,-92.5,
644.0,645.0,-98.0,-72.9,-91.71,
645.0,646.0,-97.0,-75.4,-92.6,
646.0,647.0,-103.0,-75.1,-98.6,
647.0,648.0,,-71.7,-102.0,
648.0,649.0,,-64.9,-98.0,
649.0,650.0,-100.57,-72.7,-91.8,
650.0,651.0,-100.0,-68.5,-96.67,
651.0,652.0,,-71.6,-103.33,
652.0,653.0,-104.0,-71.5,-98.0,
653.0,654.0,,-72.2,,
654.0,655.0,,-72.1,,
655.0,656.0,,-70.6,-101.0,
656.0,657.0,,-74.5,-93.33,
