t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z,room
80.024,124.004638672,222.030288696,125.0,225.0,124.0,220.0,-322.333343506,-913.666687012,2553.66674805,-317.102050781,-951.306152344,2583.66674805,-318.587738037,-884.965820312,2523.66674805,hallway
80.055,123.974884033,222.01574707,125.0,225.0,124.0,220.0,-325.0,-920.333374023,2572.66674805,-319.433990479,-958.301940918,2602.66674805,-320.986297607,-891.628540039,2542.66674805,hallway
80.087,123.997108459,222.008209229,125.0,225.0,124.0,220.0,-324.0,-918.0,2566.33349609,-318.656677246,-955.969970703,2596.33349609,-320.186798096,-889.407653809,2536.33349609,hallway
80.118,123.985977173,222.992340088,125.0,225.0,124.0,222.0,-324.5,-928.0,2569.5,-319.045318604,-957.135925293,2599.5,-320.586547852,-908.328369141,2539.5,hallway
80.149,123.963729858,222.984649658,125.0,225.0,124.0,222.0,-323.5,-924.5,2560.0,-317.879333496,-953.638000488,2590.0,-319.387237549,-904.930419922,2530.0,hallway
80.18,123.985977173,222.992340088,125.0,225.0,124.0,222.0,-324.5,-928.0,2569.5,-319.045318604,-957.135925293,2599.5,-320.586547852,-908.328369141,2539.5,hallway
80.227,123.974853516,222.015167236,125.0,225.0,124.0,220.0,-321.0,-909.0,2541.0,-315.547424316,-946.642211914,2571.0,-316.988677979,-880.523986816,2511.0,hallway
80.258,123.982299805,222.000671387,125.0,225.0,124.0,220.0,-323.333343506,-915.666687012,2560.0,-317.879333496,-953.638000488,2590.0,-319.387237549,-887.186706543,2530.0,hallway
80.29,123.995407104,221.988525391,125.0,225.0,124.0,220.0,-326.666687012,-925.333374023,2587.33349609,-321.234069824,-963.702148438,2617.33349609,-322.83782959,-896.77166748,2557.33349609,hallway
80.321,180.527053833,176.055740356,237.0,235.0,144.0,112.0,143.572784424,-392.071777344,1994.57788086,546.663085938,-816.444824219,2024.57788086,-110.225952148,55.112953186,1964.57788086,hallway
80.399,182.411529541,176.444702148,239.0,235.0,146.0,114.0,156.660247803,-394.557647705,1993.39245605,560.533691406,-815.96673584,2023.39245605,-96.3894577026,41.3097877502,1963.39245605,hallway
80.462,193.484054565,167.889007568,243.0,235.0,148.0,114.0,229.796875,-328.65625,1957.09375,578.350219727,-801.328674316,1987.09375,-81.0920944214,40.5460624695,1927.09375,hallway
80.493,194.063400269,173.261169434,245.0,235.0,150.0,114.0,234.645385742,-366.888977051,1964.39819336,594.463623047,-804.274353027,1994.39819336,-67.832901001,40.6997489929,1934.39819336,hallway
80.524,192.131744385,174.362030029,247.0,235.0,152.0,114.0,219.73059082,-371.750732422,1950.12158203,604.09552002,-798.517028809,1980.12158203,-53.8658256531,40.3993682861,1920.12158203,hallway
80.587,193.101486206,173.88734436,247.0,235.0,152.0,116.0,226.705871582,-369.064361572,1953.08349609,604.999206543,-799.711486816,1983.08349609,-53.9489173889,26.9744739532,1923.08349609,hallway
80.618,197.486297607,174.564239502,247.0,235.0,154.0,116.0,253.887817383,-369.553527832,1931.41162109,598.387573242,-790.971923828,1961.41162109,-40.0057258606,26.6704883575,1901.41162109,hallway
80.649,198.914733887,175.824188232,251.0,235.0,154.0,116.0,262.217498779,-376.157806396,1921.55664062,622.754760742,-786.997741699,1951.55664062,-39.7983779907,26.5322570801,1891.55664062,hallway
80.68,198.689666748,177.216827393,251.0,235.0,156.0,116.0,261.129394531,-386.175231934,1924.71411133,623.762329102,-788.271118164,1954.71411133,-26.576499939,26.5765457153,1894.71411133,hallway
