start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height
80.0,81.0,0.51632,1.0,0.93737,0.51029,0.47803,0.001,0.23527,1.0,0.78677,0.86682,0.40838,0.34058,1.0,0.63399,0.22272,0.76113,1.0,0.61293
81.0,82.0,0.64032,0.90011,0.05643,0.01829,0.58776,0.12993,0.19407,0.05275,0.02112,0.02945,0.58251,0.56305,0.0473,0.01226,0.32651,0.60185,0.04,0.01584
82.0,83.0,0.7221,0.89074,0.41182,0.07821,0.65145,0.13831,0.19203,0.35871,0.07166,0.05069,0.49973,0.58678,0.23791,0.02079,0.27924,0.58746,0.2273,0.01823
83.0,84.0,0.90489,0.9105,0.14312,0.0702,0.84193,0.0907,0.23594,0.40212,0.0942,0.57251,0.08841,0.25281,0.28842,0.39584,0.04828,0.81469,0.25617,0.3605
84.0,85.0,0.91482,0.8969,0.00523,0.0112,0.89532,0.0683,0.27991,0.00631,0.01276,0.00918,0.001,0.0128,0.001,0.02451,0.001,0.98913,0.00129,0.02926
85.0,86.0,0.91435,0.89911,0.00559,0.00588,0.89536,0.06589,0.28041,0.00667,0.0063,0.00517,0.001,0.001,0.001,0.001,0.00106,1.0,0.00115,0.00121
86.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,90.0,0.8985,0.18193,0.383,0.26462,0.83314,0.69095,0.2317,0.5369,0.31749,0.30194,0.40303,0.73679,0.63979,0.3169,0.25307,0.41419,0.60302,0.31323
