start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,room
41.0,42.0,289.658,118.751,5.387,21.432,964.121,2.551,2117.084,79.765,164.356,91.321,38.125,176.75,5.337,32.325,309.061,-1302.612,60.0,33.065,193.701,kitchen
42.0,43.0,247.535,87.613,23.819,1.524,593.55,219.385,1932.456,164.431,8.78,23.386,81.4,212.333,8.365,1.738,568.307,-1437.716,60.0,59.974,25.663,kitchen
43.0,44.0,170.575,91.24,15.999,3.414,74.01,197.24,1951.371,110.125,26.705,38.394,64.933,221.933,4.746,6.506,447.065,-1517.899,60.0,37.372,36.503,kitchen
44.0,45.0,133.874,104.09,6.787,6.108,-168.23,102.51,1838.536,43.1,39.214,12.587,65.897,222.517,1.447,6.511,419.533,-1435.345,60.0,7.823,41.19,kitchen
45.0,46.0,130.927,100.359,1.865,4.283,-188.534,127.199,1850.586,9.926,26.294,21.088,67.333,223.667,2.371,4.044,431.546,-1452.06,60.0,15.958,27.57,kitchen
46.0,47.0,128.976,103.043,1.359,5.856,-197.669,107.656,1817.761,7.069,36.021,23.028,70.2,223.267,1.424,5.483,441.353,-1423.549,60.0,6.349,24.948,kitchen
47.0,48.0,130.609,99.713,1.497,0.608,-187.532,129.463,1819.924,8.922,3.797,9.903,64.733,227.0,2.175,0.0,407.74,-1448.999,60.0,12.97,7.883,kitchen
48.0,49.0,133.973,97.851,0.389,0.254,-168.552,143.455,1846.904,1.901,2.115,7.844,66.067,227.0,1.611,0.0,422.848,-1470.476,60.0,11.949,6.244,kitchen
49.0,50.0,137.369,98.889,2.627,0.577,-145.86,136.051,1837.813,17.123,3.772,11.851,74.933,225.667,8.334,2.15,478.601,-1454.748,60.0,55.428,12.831,kitchen
50.0,51.0,178.017,97.984,26.744,3.543,122.879,146.473,1892.168,180.375,26.179,36.27,89.759,224.586,13.791,3.837,600.427,-1490.216,60.0,78.594,31.468,kitchen
51.0,52.0,274.309,87.949,18.101,6.894,835.329,230.26,2067.326,173.999,43.271,127.581,59.4,190.933,31.273,18.268,442.349,-1375.094,60.0,197.829,53.54,kitchen
52.0,53.0,303.477,76.642,1.338,7.85,1141.647,344.728,2269.16,11.079,61.245,15.469,8.8,57.6,3.4,39.1,100.103,-451.18,60.0,26.98,318.425,kitchen
55.0,56.0,286.986,117.142,4.219,25.266,976.69,13.583,2190.406,73.159,193.57,96.157,58.5,165.125,4.213,37.293,473.73,-1257.317,60.0,33.278,242.114,kitchen
56.0,57.0,223.412,90.834,34.593,5.098,435.463,199.536,1947.892,241.451,36.902,24.142,76.733,217.733,15.168,7.84,536.307,-1486.165,60.0,104.321,43.73,kitchen
57.0,58.0,110.836,94.041,27.692,1.768,-372.816,192.247,2108.732,221.088,18.693,99.202,89.0,206.31,13.916,10.6,648.683,-1521.127,60.0,117.544,18.116,kitchen
58.0,59.0,58.681,82.769,2.867,5.604,-886.049,327.974,2492.642,58.451,65.966,130.346,70.733,183.533,6.465,5.999,593.294,-1599.645,60.0,29.849,71.031,kitchen
59.0,60.0,52.761,79.117,2.938,1.269,-1006.5,383.746,2676.694,25.227,12.19,11.55,77.4,169.4,3.63,1.744,702.975,-1585.474,60.0,33.412,18.067,kitchen
60.0,61.0,50.812,77.163,1.511,0.908,-1022.863,401.29,2671.486,13.813,8.192,8.073,79.267,168.4,1.611,1.474,718.946,-1573.112,60.0,16.245,14.433,kitchen
61.0,62.0,48.181,78.216,1.598,1.876,-1044.618,390.274,2664.202,12.633,15.38,15.541,79.0,172.733,0.0,2.863,714.385,-1608.756,60.0,4.305,22.948,kitchen
62.0,63.0,51.161,78.74,2.048,1.563,-1016.991,385.523,2664.669,18.733,14.188,6.831,71.933,171.2,6.34,2.6,649.201,-1594.938,60.0,58.326,23.164,kitchen
63.0,64.0,53.95,79.591,0.348,0.898,-988.66,376.707,2658.543,3.852,7.712,7.437,63.759,173.552,0.97,2.222,572.08,-1612.966,60.0,9.94,21.753,kitchen
64.0,65.0,53.837,79.485,0.36,0.746,-985.877,376.237,2648.231,2.832,6.759,5.176,63.0,171.333,0.0,2.637,562.64,-1586.31,60.0,1.143,24.326,kitchen
65.0,66.0,53.958,79.564,0.511,0.499,-985.985,375.97,2651.529,4.881,4.335,3.504,64.267,173.467,0.964,2.045,575.276,-1607.901,60.0,8.901,18.639,kitchen
66.0,67.0,53.731,79.1,0.404,0.444,-985.145,379.144,2643.615,4.893,3.566,5.045,65.0,171.6,0.0,2.641,580.371,-1585.976,60.0,1.15,23.971,kitchen
67.0,68.0,53.513,80.272,0.279,0.393,-989.39,369.119,2649.58,2.031,3.561,3.392,65.0,170.067,0.0,0.998,581.73,-1575.485,60.0,0.773,9.08,kitchen
68.0,69.0,49.996,81.434,1.992,0.656,-1004.288,352.174,2603.923,10.554,8.503,28.946,72.0,166.333,4.025,2.329,634.19,-1514.756,60.0,32.302,36.184,kitchen
69.0,70.0,54.235,82.804,1.098,1.198,-938.633,330.199,2530.757,17.479,14.277,35.855,65.69,160.517,3.119,1.941,560.247,-1421.036,60.0,21.734,33.557,kitchen
70.0,71.0,55.612,84.072,1.622,0.623,-911.355,313.66,2489.672,14.481,5.082,5.93,70.733,159.0,1.982,2.251,595.469,-1384.744,60.0,18.223,19.099,kitchen
71.0,72.0,66.064,84.023,3.441,1.576,-817.071,312.918,2480.421,30.285,13.523,3.993,61.867,164.333,2.513,1.578,518.864,-1426.159,60.0,21.789,12.806,kitchen
72.0,73.0,75.7,84.854,2.267,2.568,-724.829,302.308,2451.525,24.462,24.298,20.306,66.067,167.8,2.568,4.52,549.79,-1439.15,60.0,24.155,31.964,kitchen
73.0,74.0,80.327,86.746,1.991,1.124,-673.242,281.022,2409.898,14.832,9.566,10.748,59.4,175.467,3.479,2.172,484.823,-1479.772,60.0,28.072,23.003,kitchen
74.0,75.0,82.768,85.559,0.182,0.309,-659.262,293.992,2434.274,1.375,2.534,3.229,56.733,177.133,1.123,0.718,467.226,-1508.768,60.0,9.736,6.316,kitchen
75.0,76.0,83.337,85.574,0.486,0.566,-654.899,294.094,2436.104,3.118,5.154,4.561,55.414,177.069,1.427,0.365,456.758,-1509.361,60.0,11.422,3.838,kitchen
76.0,77.0,84.159,84.976,0.594,0.439,-649.394,299.896,2441.819,4.364,3.823,3.476,53.6,177.133,1.381,0.499,442.516,-1513.453,60.0,11.69,4.289,kitchen
77.0,78.0,83.587,85.73,0.295,0.561,-654.866,293.708,2443.963,1.944,5.14,4.125,54.467,177.0,1.996,0.0,450.086,-1513.658,60.0,17.351,2.56,kitchen
78.0,79.0,82.027,86.193,0.513,0.634,-670.264,290.605,2451.359,4.332,5.403,1.241,56.133,177.0,1.118,0.0,465.569,-1518.248,60.0,9.589,0.77,kitchen
79.0,80.0,82.822,85.162,0.428,0.415,-662.295,298.964,2447.173,3.778,3.779,3.662,55.6,176.933,0.917,0.359,460.306,-1515.086,60.0,7.781,4.11,kitchen
80.0,81.0,83.445,86.055,0.308,0.57,-657.981,291.76,2451.035,2.147,5.122,4.809,54.2,177.067,1.327,0.359,449.119,-1518.613,60.0,11.396,4.053,kitchen
81.0,82.0,83.011,86.719,0.338,1.048,-661.252,285.85,2449.318,2.716,9.001,2.937,54.862,177.0,1.279,0.0,454.575,-1516.982,60.0,11.045,1.823,kitchen
82.0,83.0,82.806,86.424,0.309,0.54,-660.476,287.282,2439.939,2.364,4.617,2.097,55.333,177.0,0.907,0.0,456.856,-1511.16,60.0,7.737,1.301,kitchen
83.0,84.0,82.945,86.372,0.281,0.587,-660.499,288.248,2444.442,1.748,4.961,4.152,53.533,177.2,1.707,0.6,442.233,-1515.651,60.0,14.526,6.353,kitchen
84.0,85.0,82.728,87.267,0.826,0.558,-665.113,281.745,2454.603,7.142,4.601,2.53,54.2,178.533,0.98,0.846,449.884,-1533.299,60.0,8.564,7.486,kitchen
85.0,86.0,80.805,87.111,0.181,0.517,-681.552,283.037,2454.17,1.522,4.4,3.188,55.067,178.867,0.359,0.499,456.958,-1535.86,60.0,3.21,4.342,kitchen
86.0,87.0,81.513,86.691,0.555,0.639,-673.992,286.039,2448.865,4.24,5.727,2.485,56.133,179.0,0.991,0.0,465.288,-1533.665,60.0,8.478,1.56,kitchen
87.0,88.0,82.683,87.248,0.421,0.778,-662.839,280.788,2444.777,3.392,6.817,3.467,55.621,179.0,1.064,0.0,460.237,-1531.098,60.0,8.858,2.176,kitchen
88.0,89.0,82.362,87.93,0.353,0.401,-664.905,274.65,2442.267,2.952,3.396,1.845,55.467,179.0,1.118,0.0,458.38,-1529.523,60.0,9.586,1.158,kitchen
89.0,90.0,82.472,88.086,0.381,0.408,-662.675,272.782,2437.528,2.64,3.335,4.482,55.2,179.0,1.301,0.0,455.17,-1526.549,60.0,11.406,2.813,kitchen
90.0,91.0,80.251,88.403,1.517,1.294,-672.888,266.735,2406.561,6.839,13.054,21.885,58.8,177.333,3.807,1.374,478.457,-1493.297,60.0,27.214,23.254,kitchen
91.0,92.0,76.14,88.037,0.883,1.327,-694.513,264.772,2361.917,4.577,12.136,22.35,63.333,172.933,2.737,1.093,505.733,-1429.452,60.0,18.548,13.588,kitchen
92.0,93.0,74.246,99.882,2.104,11.482,-731.05,171.058,2430.888,20.43,97.355,12.152,64.6,142.733,4.112,18.972,532.479,-1216.677,60.0,36.654,154.555,kitchen
93.0,94.0,72.836,117.158,1.805,3.483,-753.739,24.688,2465.878,17.342,30.223,13.133,68.448,111.138,1.275,1.279,573.064,-965.138,60.0,12.532,14.819,kitchen
94.0,95.0,71.67,109.687,0.774,1.42,-766.525,89.483,2474.697,6.901,12.239,4.411,68.533,111.0,0.991,0.0,575.942,-967.354,60.0,8.251,1.717,kitchen
95.0,96.0,70.439,115.227,1.159,4.798,-778.761,41.396,2479.629,11.095,41.6,11.621,69.4,110.733,0.8,0.68,584.447,-966.995,60.0,7.198,8.759,kitchen
96.0,97.0,70.544,114.616,1.743,1.735,-780.059,46.916,2486.569,17.202,15.093,8.591,69.6,112.4,0.917,2.641,587.933,-983.979,60.0,8.255,20.419,kitchen
97.0,98.0,67.993,94.4,2.732,6.764,-780.184,216.831,2418.537,19.089,56.853,13.888,71.083,167.75,1.47,18.742,583.375,-1420.084,60.0,12.171,151.88,kitchen
98.0,99.0,68.652,90.213,1.048,0.519,-776.501,253.202,2424.125,7.741,4.122,4.159,66.8,178.867,1.74,0.718,548.808,-1517.435,60.0,14.17,6.07,kitchen
99.0,100.0,71.373,89.041,0.304,1.09,-751.821,262.603,2419.115,3.154,8.59,6.625,65.483,177.552,1.004,0.894,536.61,-1503.29,60.0,8.472,10.451,kitchen
100.0,101.0,69.975,88.722,0.575,0.51,-761.034,264.411,2410.723,4.589,4.214,2.118,67.4,176.6,0.952,0.8,550.687,-1490.108,60.0,7.794,6.88,kitchen
101.0,102.0,70.53,88.413,0.232,0.328,-757.102,267.292,2413.139,1.765,2.623,2.386,67.267,175.533,0.68,1.147,550.145,-1482.69,60.0,5.543,9.694,kitchen
102.0,103.0,57.503,92.687,8.612,3.843,-833.012,223.325,2323.13,47.334,37.172,65.61,82.2,164.8,7.756,9.897,646.64,-1344.128,60.0,46.695,115.77,kitchen
103.0,104.0,53.0,115.349,4.554,4.767,-858.646,36.925,2289.205,30.426,37.586,29.433,77.2,118.2,2.798,8.773,597.322,-953.052,60.0,20.044,58.888,kitchen
104.0,105.0,61.022,148.376,3.821,9.368,-829.489,-239.17,2391.313,19.43,81.28,41.459,71.333,94.8,1.868,9.286,576.177,-801.75,60.0,10.98,63.941,kitchen
105.0,106.0,64.868,161.33,1.379,1.804,-812.929,-353.212,2436.969,10.042,15.893,10.622,68.867,86.067,0.884,0.998,567.16,-744.147,60.0,7.303,10.61,kitchen
106.0,107.0,65.21,159.672,1.459,1.625,-808.501,-338.39,2432.355,12.386,14.126,5.755,68.862,85.483,0.73,1.133,566.346,-737.715,60.0,6.176,9.289,kitchen
107.0,108.0,61.043,159.473,3.143,3.205,-843.218,-336.455,2430.118,25.121,28.354,9.937,69.8,84.4,2.104,1.052,573.401,-727.824,60.0,18.439,8.378,kitchen
108.0,109.0,60.708,143.863,2.071,17.153,-831.492,-202.758,2388.698,15.009,145.673,48.238,75.333,112.4,3.187,28.674,608.1,-942.911,60.0,15.132,215.838,kitchen
109.0,110.0,54.671,98.968,5.056,3.151,-803.07,160.111,2174.43,38.891,22.86,31.457,80.733,185.533,5.813,3.18,593.681,-1412.601,60.0,43.044,12.43,kitchen
110.0,111.0,58.043,99.316,3.368,1.893,-757.455,153.887,2119.419,16.392,16.025,26.996,81.2,184.2,4.908,1.424,581.527,-1367.204,60.0,29.018,26.857,kitchen
111.0,112.0,56.536,99.43,1.536,1.292,-765.413,152.225,2109.807,7.839,10.176,10.274,82.467,184.133,1.857,1.522,588.493,-1360.529,60.0,11.624,13.672,kitchen
112.0,113.0,59.103,98.938,0.565,0.731,-754.476,157.501,2132.433,3.559,5.713,5.926,80.31,184.931,0.951,1.112,579.252,-1381.22,60.0,6.884,8.901,kitchen
113.0,114.0,59.002,97.579,0.361,0.667,-757.053,168.053,2137.559,2.893,4.844,3.6,81.133,184.867,0.499,0.499,586.782,-1384.142,60.0,3.847,4.294,kitchen
114.0,115.0,59.084,97.704,0.229,0.609,-758.52,167.579,2143.452,1.921,4.506,2.993,81.267,184.467,0.68,0.884,589.445,-1384.994,60.0,4.865,6.033,kitchen
115.0,116.0,59.422,97.343,0.285,0.634,-756.72,170.462,2145.553,2.543,4.684,2.625,81.0,185.0,0.0,0.0,588.067,-1390.314,60.0,0.746,1.703,kitchen
116.0,117.0,59.079,101.265,0.902,6.905,-759.441,140.903,2145.927,7.644,51.868,4.033,82.067,184.533,1.843,1.118,596.079,-1387.071,60.0,14.519,7.265,kitchen
117.0,118.0,73.563,104.547,13.504,8.828,-713.939,133.289,2378.994,69.37,83.556,152.593,71.4,175.867,10.307,6.825,571.878,-1461.366,60.0,45.145,45.581,kitchen
118.0,119.0,122.581,83.307,13.09,2.569,-368.781,365.35,2834.684,119.324,33.784,77.041,43.207,135.0,4.278,16.137,420.927,-1330.424,60.0,35.291,123.372,kitchen
119.0,120.0,155.116,96.148,4.229,10.532,-50.333,247.761,2997.707,42.794,104.294,81.943,51.0,105.733,2.129,17.989,535.157,-1101.866,60.0,24.951,157.917,kitchen
120.0,121.0,162.558,107.112,1.05,1.648,29.256,146.929,3246.76,12.144,20.169,35.715,50.733,88.733,1.436,3.642,578.155,-1008.172,60.0,12.658,51.268,kitchen
121.0,122.0,163.363,105.851,0.148,0.201,38.357,161.362,3252.293,1.704,2.431,4.432,47.8,93.267,0.98,1.236,545.955,-1060.743,60.0,11.443,14.31,kitchen
122.0,123.0,163.424,105.859,0.136,0.195,39.018,161.139,3249.542,1.545,2.174,1.193,47.8,93.267,0.98,0.854,545.503,-1059.909,60.0,11.212,9.407,kitchen
123.0,124.0,163.385,106.103,0.052,0.159,38.584,158.413,3250.763,0.598,1.796,1.529,47.067,92.867,0.359,0.499,537.272,-1055.779,60.0,4.11,5.808,kitchen
124.0,125.0,163.516,105.936,0.071,0.154,40.114,160.442,3253.299,0.811,1.777,1.273,48.793,92.931,0.609,0.64,557.569,-1057.317,60.0,7.072,7.382,kitchen
125.0,126.0,165.107,105.835,1.909,0.531,59.061,163.137,3284.473,22.837,6.276,36.526,52.867,93.533,3.462,1.147,610.383,-1074.445,60.0,46.698,19.989,kitchen
126.0,127.0,169.272,111.075,0.543,0.959,109.619,105.499,3371.503,6.304,11.175,5.83,64.0,93.0,2.049,1.461,758.157,-1097.883,60.0,24.9,16.444,kitchen
127.0,128.0,168.719,112.195,0.106,0.115,103.24,92.416,3376.623,1.26,1.377,1.654,65.267,89.267,0.68,0.68,774.156,-1055.793,60.0,8.064,7.849,kitchen
128.0,129.0,168.724,112.103,0.08,0.101,103.34,93.544,3378.058,0.965,1.21,1.053,65.267,89.0,0.68,0.0,774.471,-1053.112,60.0,8.043,0.329,kitchen
129.0,130.0,168.704,112.105,0.098,0.129,103.126,93.542,3378.764,1.173,1.555,1.136,65.4,89.067,0.8,0.359,776.197,-1054.116,60.0,9.323,4.29,kitchen
130.0,131.0,168.713,112.083,0.073,0.118,103.252,93.816,3379.276,0.877,1.423,1.298,65.138,89.0,0.507,0.0,773.237,-1053.492,60.0,5.931,0.405,kitchen
131.0,132.0,168.892,111.626,0.172,0.392,105.312,99.174,3377.459,2.037,4.622,1.514,65.2,91.733,0.6,1.59,773.55,-1085.007,60.0,6.998,18.458,kitchen
132.0,133.0,168.787,111.423,0.115,0.158,103.973,101.494,3374.373,1.389,1.905,1.928,65.4,92.2,0.952,0.98,775.188,-1089.491,60.0,10.968,11.576,kitchen
133.0,134.0,168.908,109.697,0.821,1.166,105.094,121.548,3366.015,9.114,13.234,24.585,60.067,89.2,2.235,2.33,710.988,-1051.155,60.0,29.202,26.164,kitchen
134.0,135.0,170.415,112.927,0.335,0.808,123.295,83.753,3375.985,3.731,9.723,8.279,58.133,87.4,0.991,1.583,690.322,-1033.962,60.0,12.996,17.662,kitchen
135.0,136.0,170.279,114.066,0.078,0.171,121.933,70.399,3382.889,0.911,2.053,1.474,59.0,87.0,0.0,0.0,701.896,-1031.526,60.0,0.305,0.45,kitchen
136.0,137.0,170.301,113.883,0.06,0.153,122.211,72.574,3383.416,0.714,1.84,1.507,59.0,87.0,0.0,0.0,702.005,-1031.686,60.0,0.312,0.46,kitchen
137.0,138.0,170.387,113.799,0.078,0.146,123.282,73.598,3384.641,0.921,1.751,1.308,59.0,87.0,0.0,0.0,702.258,-1032.06,60.0,0.271,0.399,kitchen
138.0,139.0,170.402,113.827,0.062,0.119,123.475,73.277,3385.051,0.728,1.438,1.542,59.0,87.0,0.0,0.0,702.343,-1032.185,60.0,0.319,0.471,kitchen
139.0,140.0,170.349,113.768,0.101,0.11,122.836,73.963,3384.685,1.207,1.317,1.143,59.0,87.0,0.0,0.0,702.268,-1032.074,60.0,0.236,0.349,kitchen
140.0,141.0,170.441,113.104,0.289,1.059,123.185,81.298,3365.068,2.674,11.954,20.945,58.667,90.0,0.745,4.374,694.351,-1060.879,60.0,12.2,44.649,kitchen
141.0,142.0,172.466,111.616,0.72,1.032,146.287,98.286,3345.39,9.152,11.581,17.941,58.667,89.867,3.015,2.513,690.399,-1051.935,60.0,38.829,25.412,kitchen
142.0,143.0,172.973,113.008,0.081,0.151,153.037,82.482,3363.949,0.97,1.789,0.864,62.933,85.733,0.629,0.964,744.369,-1009.704,60.0,7.49,11.281,kitchen
143.0,144.0,172.978,113.039,0.087,0.115,153.118,82.134,3364.56,1.034,1.359,0.882,63.069,85.276,0.365,0.69,746.119,-1004.511,60.0,4.393,8.046,kitchen
144.0,145.0,173.007,112.589,0.087,0.135,153.394,87.398,3363.02,1.054,1.614,1.049,62.2,88.2,0.98,0.98,735.439,-1038.227,60.0,11.697,11.479,kitchen
145.0,146.0,172.937,112.516,0.082,0.111,152.597,88.272,3363.694,0.987,1.319,0.984,61.0,89.0,0.0,0.0,721.305,-1047.788,60.0,0.21,0.307,kitchen
146.0,147.0,172.968,112.464,0.099,0.125,153.031,88.936,3365.262,1.177,1.482,0.996,61.0,89.0,0.0,0.0,721.64,-1048.277,60.0,0.213,0.311,kitchen
147.0,148.0,172.894,112.579,0.079,0.093,152.074,87.519,3363.23,0.923,1.104,0.914,61.0,88.933,0.0,0.359,721.206,-1046.864,60.0,0.195,4.288,kitchen
