start,end,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
10.0,11.0,0.53814,0.0,0.50515,0.46392
11.0,12.0,0.50722,0.0,0.5134,0.54227
12.0,13.0,0.51959,0.0,0.52371,0.56701
13.0,14.0,0.5299,0.0,0.53608,0.56082
14.0,15.0,0.5134,0.0,0.50515,0.59794
15.0,16.0,0.4866,0.0,0.53402,0.60412
16.0,17.0,0.44948,0.0,0.42268,0.54433
17.0,18.0,0.58969,0.0,0.44742,0.54433
18.0,19.0,0.6866,0.0,0.50515,0.5134
19.0,20.0,0.74433,0.0,0.48227,0.73649
20.0,21.0,0.40887,0.0,0.28742,0.60825
21.0,22.0,0.31546,0.0,0.43505,0.78969
22.0,23.0,0.49278,0.0,0.61237,0.0
23.0,24.0,0.48969,0.0,0.57979,0.0
24.0,25.0,0.45155,0.0,0.56495,0.95876
25.0,26.0,0.59629,0.0,0.70598,0.94495
26.0,27.0,0.65876,0.0,0.75773,0.0
27.0,28.0,0.44639,0.0,0.46082,0.0
28.0,29.0,0.36701,0.0,0.50515,0.89691
29.0,30.0,0.38763,0.0,0.65052,0.87629
30.0,31.0,0.34227,0.0,0.59485,0.0
31.0,32.0,0.32577,0.0,0.49794,0.95464
32.0,33.0,0.46701,0.0,0.54639,0.87629
33.0,34.0,0.6701,0.0,0.75938,0.76804
34.0,35.0,0.9299,0.0,0.83505,0.69814
35.0,36.0,0.0,0.0,0.85856,0.84351
36.0,37.0,0.81856,0.0,0.81216,0.83753
37.0,38.0,0.67526,0.0,0.75381,0.86082
38.0,39.0,0.71856,0.0,0.53299,0.89093
39.0,40.0,0.72577,0.0,0.54536,0.89691
40.0,41.0,0.87258,0.0,0.76577,0.90804
41.0,42.0,0.90103,0.0,0.81443,0.8299
42.0,43.0,0.91753,0.0,0.0,0.8334
43.0,44.0,0.0,0.0,0.0,0.69072
44.0,45.0,0.0,0.0,0.0,0.74227
45.0,46.0,0.0,0.0,0.0,0.72371
46.0,47.0,0.0,0.0,0.97938,0.73711
47.0,48.0,0.0,0.0,0.0,0.77938
48.0,49.0,0.0,0.0,0.0,0.69588
