start,end,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
22.0,23.0,-90.7,-90.87,-82.41,
23.0,24.0,-84.65,-96.29,-73.1,
24.0,25.0,-74.35,-87.65,-79.05,
25.0,26.0,-79.85,-78.45,-95.81,
26.0,27.0,-83.6,-75.65,-93.27,
27.0,28.0,,-67.9,-95.0,
28.0,29.0,-102.0,-74.0,-95.0,
29.0,30.0,-95.6,-80.6,-90.75,
30.0,31.0,-96.0,-85.4,-88.5,
31.0,32.0,-92.0,-81.5,-87.2,
32.0,33.0,-99.0,-70.0,-93.5,
33.0,34.0,,-72.4,,
34.0,35.0,,-72.2,,
35.0,36.0,,-71.0,,
36.0,37.0,,-70.0,,
37.0,38.0,,-68.4,-103.0,
38.0,39.0,,-66.8,,
39.0,40.0,,-67.6,,
40.0,41.0,-93.0,-68.6,-102.0,
41.0,42.0,,-68.6,-96.67,
42.0,43.0,,-71.0,-100.33,
43.0,44.0,-96.0,-75.0,-94.4,
44.0,45.0,,-72.2,-93.0,
45.0,46.0,-96.0,-67.2,,
46.0,47.0,,-74.8,-101.5,
47.0,48.0,,-71.4,-99.0,
48.0,49.0,-102.0,-68.4,-102.0,
49.0,50.0,,-67.6,,
50.0,51.0,-103.0,-70.2,,
51.0,52.0,,-69.2,,
52.0,53.0,-99.33,-69.6,-100.0,
53.0,54.0,-102.0,-72.2,,
54.0,55.0,,-74.5,-100.0,
55.0,56.0,,-69.2,,
56.0,57.0,,-68.6,,
57.0,58.0,,-68.6,,
58.0,59.0,,-62.6,,
59.0,60.0,-102.0,-68.6,-98.33,
60.0,61.0,-99.0,-75.2,-89.25,
61.0,62.0,-100.5,-71.6,-85.0,
62.0,63.0,-97.0,-72.0,-100.67,
63.0,64.0,,-72.6,,
64.0,65.0,-99.0,-72.6,-103.5,
65.0,66.0,-100.0,-73.8,,
66.0,67.0,,-71.0,,
67.0,68.0,,-67.4,,
68.0,69.0,,-69.4,,
69.0,70.0,-101.0,-71.4,,
70.0,71.0,,-76.2,-99.0,
71.0,72.0,-97.0,-70.0,,
72.0,73.0,,-70.0,,
73.0,74.0,,-69.4,,
74.0,75.0,,-70.6,,
75.0,76.0,,-71.6,,
76.0,77.0,,-71.4,,
77.0,78.0,,-67.6,,
78.0,79.0,,-66.0,,
79.0,80.0,,-68.6,,
80.0,81.0,,-67.45,,
81.0,82.0,,-73.15,,
82.0,83.0,,-71.5,,
83.0,84.0,,-68.85,,
84.0,85.0,,-69.95,,
85.0,86.0,,-71.45,,
86.0,87.0,,-68.95,,
87.0,88.0,,-67.6,,
88.0,89.0,,-71.4,,
89.0,90.0,,-68.7,,
90.0,91.0,,-67.85,,
91.0,92.0,,-67.6,-100.0,
92.0,93.0,,-67.05,-100.0,
93.0,94.0,,-72.65,,
94.0,95.0,-103.0,-71.05,-96.0,
95.0,96.0,-99.8,-71.9,-96.0,
96.0,97.0,-104.0,-71.55,-99.0,
97.0,98.0,,-73.15,-93.4,
98.0,99.0,,-71.15,-100.5,
99.0,100.0,,-74.05,,
100.0,101.0,,-74.9,,
101.0,102.0,-95.57,-72.4,-94.07,
102.0,103.0,-93.67,,-95.81,
103.0,104.0,-101.0,,-96.89,
104.0,105.0,,-70.57,-104.0,
105.0,106.0,,-72.82,-99.0,
106.0,107.0,,-70.11,-104.0,
107.0,108.0,,-72.2,,
108.0,109.0,,-71.85,,
109.0,110.0,,-69.9,,
110.0,111.0,,-71.3,-103.0,
111.0,112.0,-101.0,-66.75,-95.82,
112.0,113.0,-104.0,-66.3,-98.25,
113.0,114.0,-96.0,-66.85,-100.5,
114.0,115.0,-96.0,-69.65,-95.2,
115.0,116.0,,-70.55,-98.71,
116.0,117.0,,-75.9,-105.0,
117.0,118.0,,-69.55,,
118.0,119.0,,-75.6,,
119.0,120.0,,-74.55,,
120.0,121.0,,-73.65,,
121.0,122.0,,-67.5,,
122.0,123.0,,-70.2,,
123.0,124.0,-96.0,-75.35,-105.0,
124.0,125.0,,-75.9,,
125.0,126.0,,-74.95,,
126.0,127.0,,-72.9,,
127.0,128.0,,-69.5,,
128.0,129.0,,-68.6,,
129.0,130.0,,-68.0,,
130.0,131.0,,-68.3,,
131.0,132.0,,-66.45,,
132.0,133.0,,-66.16,,
133.0,134.0,,-69.1,,
134.0,135.0,,-68.21,,
135.0,136.0,,-68.0,,
136.0,137.0,,-69.7,,
137.0,138.0,,-69.7,,
138.0,139.0,,-67.1,,
139.0,140.0,,-73.8,,
140.0,141.0,,-67.5,,
141.0,142.0,,-64.7,,
142.0,143.0,,-66.8,,
143.0,144.0,,-68.3,,
144.0,145.0,,-67.8,,
145.0,146.0,,-70.1,,
146.0,147.0,,-64.9,,
147.0,148.0,,-66.4,,
148.0,149.0,,-67.9,,
149.0,150.0,,-68.7,,
150.0,151.0,,-72.5,-101.0,
151.0,152.0,,-76.6,-101.0,
152.0,153.0,,-74.3,,
153.0,154.0,,-69.2,,
154.0,155.0,,-69.7,,
155.0,156.0,,-71.0,,
156.0,157.0,,-71.1,,
157.0,158.0,-100.0,-74.88,,
158.0,159.0,-96.67,-84.25,,
159.0,160.0,,-71.1,-102.0,
160.0,161.0,,-72.3,,
161.0,162.0,,-70.5,-97.0,
162.0,163.0,,-70.1,-97.0,
163.0,164.0,,-70.2,-93.0,
164.0,165.0,,-70.4,-100.0,
165.0,166.0,,-69.6,-98.5,
166.0,167.0,-104.0,-70.1,-95.62,
167.0,168.0,,-71.0,-97.2,
168.0,169.0,,-63.3,-100.0,
169.0,170.0,,-70.5,-101.0,
170.0,171.0,-103.0,-75.7,,
171.0,172.0,-102.0,-72.8,-104.0,
172.0,173.0,,-76.3,-99.0,
173.0,174.0,,-76.2,,
174.0,175.0,,-75.9,,
175.0,176.0,,-67.9,,
176.0,177.0,,-67.2,-104.0,
177.0,178.0,-100.0,-73.5,-102.0,
178.0,179.0,,-76.8,,
179.0,180.0,,-74.7,,
180.0,181.0,,-74.0,,
181.0,182.0,,-73.9,,
182.0,183.0,,-67.1,-97.0,
183.0,184.0,,-68.5,,
184.0,185.0,,-73.89,-99.33,
185.0,186.0,,-72.1,-102.0,
186.0,187.0,,-71.8,,
187.0,188.0,,-72.85,,
188.0,189.0,,-71.3,,
189.0,190.0,,-70.8,,
190.0,191.0,,-67.4,,
191.0,192.0,,-73.55,,
192.0,193.0,,-74.1,,
193.0,194.0,,-76.65,,
194.0,195.0,,-74.8,,
195.0,196.0,,-70.35,,
196.0,197.0,-102.0,-69.85,,
197.0,198.0,-102.0,-72.15,-95.0,
198.0,199.0,-104.0,-77.95,,
199.0,200.0,,-71.25,,
200.0,201.0,,-72.35,,
201.0,202.0,,-68.55,,
202.0,203.0,,-68.7,,
203.0,204.0,,-63.35,,
204.0,205.0,,-65.1,,
205.0,206.0,,-65.1,,
206.0,207.0,,-67.9,,
207.0,208.0,,-68.7,,
208.0,209.0,,-68.44,-99.0,
209.0,210.0,-101.0,-70.6,,
210.0,211.0,-101.0,-71.3,,
211.0,212.0,,-70.15,-104.0,
212.0,213.0,,-72.15,-104.0,
213.0,214.0,,-72.8,,
214.0,215.0,,-72.7,,
215.0,216.0,,-73.3,,
216.0,217.0,,-72.0,,
217.0,218.0,,-77.15,,
218.0,219.0,,-80.9,,
219.0,220.0,,-73.8,,
220.0,221.0,,-74.35,-99.0,
221.0,222.0,,-70.0,,
222.0,223.0,,-70.85,-101.2,
223.0,224.0,,-69.5,-99.82,
224.0,225.0,,-68.3,-95.0,
225.0,226.0,,-71.6,,
226.0,227.0,,-71.45,,
227.0,228.0,,-70.75,,
228.0,229.0,,-70.75,-92.0,
229.0,230.0,,-74.1,-96.0,
230.0,231.0,-102.0,-74.85,-97.69,
231.0,232.0,-95.75,-72.3,-94.8,
232.0,233.0,-95.75,-71.2,-93.58,
233.0,234.0,-99.0,-76.25,-93.67,
234.0,235.0,-101.0,-71.25,-93.0,
235.0,236.0,-101.0,-75.3,,
236.0,237.0,,-75.21,,
237.0,238.0,,-66.0,-96.0,
238.0,239.0,,-64.0,,
239.0,240.0,,-64.0,,
240.0,241.0,,-67.8,,
241.0,242.0,,-69.6,,
242.0,243.0,,-70.8,,
243.0,244.0,,-79.4,,
244.0,245.0,,-69.2,,
245.0,246.0,,-67.0,,
246.0,247.0,,-70.0,,
247.0,248.0,,-66.0,,
248.0,249.0,,-68.2,,
249.0,250.0,,-69.0,,
250.0,251.0,,-71.8,,
251.0,252.0,,-71.6,,
252.0,253.0,,-72.0,,
253.0,254.0,,-70.4,,
254.0,255.0,,-70.6,,
255.0,256.0,-104.0,-71.6,,
256.0,257.0,,-69.8,,
257.0,258.0,,-71.0,,
258.0,259.0,,-73.2,,
259.0,260.0,,-69.0,,
260.0,261.0,,-66.8,,
261.0,262.0,,-68.2,,
262.0,263.0,,-64.8,,
263.0,264.0,,-66.6,,
264.0,265.0,,-65.0,,
