start,end,0,1,2,3,4,target_vector
22.0,23.0,-1226.625207680129,-16.44679321866846,12.059873784624058,-2.4133367780507036,-3.520653076813447,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23.0,24.0,1603.8199589616559,396.2342523777506,274.5840507707193,643.0113401730611,300.16106741003387,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24.0,25.0,985.3209637884188,268.9010980432594,362.5552178404739,478.68376043224686,422.6697853917106,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25.0,26.0,824.1619382100497,-151.84042711556376,166.4472696009405,517.9300102344781,464.4604489727733,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26.0,27.0,916.9261092114417,-535.0186140387534,-3.9482273322522015,913.1581312730341,100.65285669720652,"[0.0, 0.0, 0.0, 0.0, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15]"
27.0,28.0,-1226.7988159055935,-16.407638561996976,11.51052814237762,-5.817911275311984,-4.616595399541112,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
28.0,29.0,-1226.8530194914845,-16.56873656089831,12.899064021725808,-1.5229383504683094,-3.9062267115814144,"[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
29.0,30.0,-1226.7666670552785,-16.547620681780195,12.55571468426894,-1.9463391533713919,-3.7665249368363236,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05]"
30.0,31.0,-1226.7150225503576,-16.567230839628618,12.402486614264195,-2.027157013300606,-3.6385905592607033,"[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31.0,32.0,1431.4684868324289,-483.7038093036166,-701.4409736097623,148.01632920489902,-8.543133188046447,"[0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32.0,33.0,1339.561763835411,-0.3303754642674202,-473.38409549074055,14.619071740137224,119.39190809654005,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33.0,34.0,1129.516715569671,542.3375081726402,-267.29532115020555,-60.327046322106256,155.60774167096469,"[0.0, 0.0, 0.1, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34.0,35.0,1009.8245378338293,660.9366168888507,-194.38038019002863,-112.27956579728095,151.87569358870616,"[0.0, 0.0, 0.85, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35.0,36.0,1017.8329615589677,619.4601706132586,-195.07714133933666,-116.06970924046874,172.69767297511353,"[0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
