start,end,location_idx,AP_vector,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr,target_vector
22.0,23.0,3,"[0.70021, 0.70377, 0.0, 0.52642]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14697,0.62449,0.62094,0.13944,0.73589,0.14867,0.14932,0.05855,0.45843,0.34763,0.01595,0.14711,0.57787,0.05601,0.27364,0.83456,0.11709,0.0233,0.16704,0.56101,0.07035,0.26183,0.80455,0.09612,0.46729,0.88345,0.55081,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23.0,24.0,3,"[0.57338, 0.8174, 0.0, 0.33124]",0.44404,0.77667,0.26943,0.15901,0.44091,0.27257,0.26959,0.31348,0.09193,0.56256,0.37599,0.57414,0.26328,0.03321,0.40825,0.31886,0.18803,0.18903,0.1571,0.64353,0.58894,0.111,0.71756,0.13883,0.07962,0.05981,0.50588,0.29677,0.01207,0.16596,0.59893,0.02828,0.26159,0.84808,0.10246,0.01894,0.11311,0.52151,0.05439,0.24485,0.80883,0.07856,0.59423,0.51957,0.60023,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24.0,25.0,7,"[0.35744, 0.63627, 0.0, 0.45597]",0.43127,0.89266,0.25296,0.077,0.42877,0.24896,0.09347,0.2186,0.03592,0.37736,0.55575,0.53297,0.75598,0.04826,0.45307,0.51788,0.52541,0.14008,0.12545,0.63644,0.50009,0.14221,0.77482,0.11351,0.1302,0.05516,0.46381,0.34187,0.0185,0.15894,0.6058,0.05457,0.27926,0.83297,0.12392,0.04021,0.10932,0.42328,0.13549,0.21844,0.70508,0.11612,0.48358,0.77785,0.86406,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25.0,26.0,3,"[0.47275, 0.4434, 0.0, 0.80734]",0.69103,0.90781,0.906,0.12317,0.62637,0.26763,0.03525,0.67015,0.09373,0.19297,0.58328,0.50784,1.0,0.03316,0.44774,0.58893,0.84846,0.06748,0.11745,0.61645,0.55449,0.17475,0.7893,0.1121,0.18409,0.06701,0.44522,0.36179,0.01996,0.13916,0.55956,0.0471,0.27364,0.83854,0.11709,0.0245,0.05944,0.46227,0.06817,0.26183,0.78979,0.09612,0.5745,0.52732,0.39798,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26.0,27.0,6,"[0.55136, 0.3847, 0.0, 0.75409]",0.91601,0.86413,0.16625,0.10209,0.84256,0.26567,0.10097,0.33778,0.16905,0.66557,0.13179,0.37254,0.37881,0.1722,0.12314,0.66637,0.24599,0.0815,0.1484,0.6852,0.55162,0.11668,0.7333,0.15476,0.13682,0.06447,0.48436,0.31984,0.01386,0.20719,0.63144,0.05198,0.30014,0.85922,0.14929,0.05024,0.16856,0.52911,0.17979,0.25382,0.71712,0.101,0.29461,0.88176,0.21053,"[0.0, 0.0, 0.0, 0.0, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15]"
27.0,28.0,5,"[0.0, 0.22222, 0.0, 0.79036]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13531,0.45694,0.69242,0.28445,0.75699,0.12851,0.23032,0.08605,0.31802,0.49814,0.04766,0.12228,0.4245,0.13709,0.30656,0.70849,0.15709,0.08119,0.2875,0.63949,0.11752,0.34721,0.81504,0.18441,0.52333,0.82095,0.50911,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
28.0,29.0,5,"[0.93711, 0.3501, 0.0, 0.79036]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22664,0.60412,0.6698,0.12635,0.59173,0.15758,0.21786,0.12794,0.51909,0.28261,0.05669,0.16085,0.48631,0.1562,0.35073,0.76496,0.21075,0.07591,0.25719,0.61721,0.16472,0.34532,0.77502,0.18246,0.9469,0.17601,0.1569,"[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
29.0,30.0,5,"[0.80294, 0.48847, 0.0, 0.70126]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2363,0.81574,0.51674,0.10633,0.57425,0.21336,0.0797,0.09197,0.56214,0.23646,0.0868,0.33637,0.74361,0.10448,0.40453,0.84092,0.27612,0.07334,0.15782,0.42126,0.19766,0.27127,0.68837,0.13709,0.59727,0.76185,0.45165,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05]"
30.0,31.0,5,"[0.81132, 0.5891, 0.0, 0.65409]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26651,0.80776,0.53961,0.16424,0.51959,0.24384,0.07679,0.09493,0.57437,0.22335,0.08637,0.32847,0.73949,0.08541,0.3949,0.85285,0.26441,0.06526,0.25486,0.56405,0.26368,0.30193,0.69537,0.13758,0.45777,0.63206,0.4473,"[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31.0,32.0,5,"[0.72746, 0.50734, 0.0, 0.62683]",0.95085,0.08256,0.2445,0.21192,0.90298,0.87043,0.14405,0.28968,0.21253,0.12168,0.39821,0.71311,0.67084,0.12604,0.3761,0.30794,0.59795,0.10377,0.35331,0.83345,0.28643,0.25936,0.3823,0.34134,0.23498,0.24387,0.54698,0.25272,0.09525,0.35831,0.77474,0.12381,0.41257,0.79758,0.28587,0.15714,0.41287,0.19138,0.25244,0.22033,0.51041,0.3605,0.55574,0.79437,0.47034,"[0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
