start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,room
23.0,24.0,158.182,167.715,8.85,6.707,-12.095,-434.396,2620.908,83.137,30.513,180.882,62.429,121.357,7.326,2.207,569.944,-1128.027,60.0,42.989,95.088,hallway
24.0,25.0,154.861,186.328,8.307,3.226,-38.784,-470.95,2030.119,57.894,11.716,121.229,89.0,113.0,21.088,3.238,627.119,-818.019,60.0,120.534,70.331,hallway
25.0,26.0,222.417,188.76,29.837,5.186,395.586,-442.048,1834.851,178.03,31.117,61.836,93.069,107.897,27.904,2.203,620.314,-707.351,60.0,194.785,33.619,hallway
26.0,27.0,280.927,181.75,5.448,4.291,870.813,-445.087,2055.29,89.603,56.389,214.064,26.333,80.429,10.553,11.729,206.278,-586.717,60.0,56.31,40.71,hallway
31.0,32.0,289.988,56.327,8.028,8.953,1003.609,491.205,2199.809,76.806,70.98,38.872,65.714,149.571,18.71,8.567,528.945,-1145.034,60.0,137.207,51.971,living_room
32.0,33.0,221.962,65.664,26.451,2.863,462.808,402.987,2113.571,204.21,27.298,47.872,83.214,165.286,8.059,5.229,629.532,-1218.729,60.0,70.961,45.294,living_room
33.0,34.0,142.108,75.313,20.618,5.949,-118.244,306.313,1952.324,138.665,44.051,61.594,85.857,186.571,4.051,4.671,583.248,-1272.448,60.0,29.228,18.308,living_room
34.0,35.0,117.906,74.103,1.369,8.453,-273.546,297.576,1853.891,7.109,51.256,37.12,89.733,191.067,2.502,4.516,574.181,-1238.335,60.0,19.859,26.542,living_room
35.0,36.0,123.778,75.294,1.422,4.384,-235.611,290.829,1855.077,8.818,28.771,13.882,93.593,189.593,5.833,0.913,598.839,-1229.711,60.0,37.144,11.651,living_room
36.0,37.0,128.689,69.09,1.161,0.829,-208.964,339.876,1903.779,6.105,7.066,21.724,95.16,189.4,0.784,0.8,626.149,-1260.814,60.0,8.861,18.141,living_room
37.0,38.0,124.524,68.945,2.843,1.202,-243.75,350.664,1958.729,20.546,7.887,10.233,97.214,190.5,1.235,0.866,657.836,-1304.953,60.0,10.256,10.05,living_room
38.0,39.0,138.287,64.805,14.773,2.698,-150.935,386.185,1994.715,101.963,21.425,21.441,105.867,183.933,8.176,5.949,735.877,-1282.166,60.0,61.86,38.22,living_room
39.0,40.0,202.683,66.5,22.138,4.547,289.447,366.393,1955.917,144.065,25.285,47.465,93.846,181.769,10.886,4.37,655.184,-1242.632,60.0,71.187,52.845,living_room
40.0,41.0,275.159,59.678,14.077,3.164,836.158,434.686,2055.386,151.949,36.134,135.986,60.103,170.793,22.6,7.69,447.159,-1221.863,60.0,129.943,31.239,living_room
41.0,42.0,299.956,111.638,3.638,30.557,1180.457,65.178,2404.052,53.843,253.104,50.642,17.786,87.357,4.938,36.836,178.213,-729.399,60.0,37.247,288.137,living_room
42.0,43.0,302.342,142.262,0.589,7.01,1216.885,-190.504,2437.959,6.04,60.601,12.349,14.548,43.71,1.662,15.379,153.768,-377.029,60.0,14.052,128.581,living_room
43.0,44.0,295.386,120.587,6.768,42.405,1073.083,-17.592,2256.205,94.997,335.222,100.927,34.286,94.0,24.636,68.443,291.525,-723.703,60.0,174.579,505.198,living_room
44.0,45.0,235.577,66.166,32.936,4.15,527.596,377.706,2002.832,226.601,25.063,37.218,82.727,173.636,5.302,5.131,595.983,-1214.706,60.0,41.228,55.808,living_room
45.0,46.0,144.851,63.314,32.87,1.953,-125.237,413.705,2077.435,265.789,39.631,129.776,86.333,173.889,19.641,9.574,630.654,-1257.135,60.0,183.408,4.434,living_room
46.0,47.0,57.894,47.837,5.636,2.412,-874.047,617.413,2438.082,67.934,34.688,61.41,83.154,148.385,10.967,0.923,685.239,-1260.502,60.0,78.196,25.732,living_room
47.0,48.0,50.462,45.416,2.002,0.9,-955.244,650.663,2487.596,7.988,16.201,44.154,76.8,147.0,2.151,0.0,645.395,-1274.205,60.0,12.742,22.76,living_room
48.0,49.0,50.268,46.408,1.403,1.294,-968.55,649.623,2517.403,8.377,13.346,33.916,81.069,147.0,0.365,0.0,692.181,-1289.571,60.0,8.769,17.483,living_room
49.0,50.0,50.402,46.36,1.523,1.159,-969.476,651.32,2522.363,20.145,10.564,25.507,81.533,147.0,1.147,0.0,697.445,-1292.127,60.0,10.032,13.148,living_room
50.0,51.0,53.238,47.679,1.295,1.055,-979.086,663.226,2615.374,14.11,10.644,34.38,76.583,147.0,1.73,0.0,678.132,-1340.073,60.0,8.702,17.722,living_room
51.0,52.0,55.264,48.908,0.905,2.383,-929.287,631.22,2530.147,24.742,35.691,60.888,75.933,147.0,3.492,0.0,650.71,-1296.14,60.0,35.82,31.386,living_room
52.0,53.0,73.427,52.409,8.2,1.558,-755.489,590.43,2491.452,62.087,12.314,35.205,63.276,150.31,9.537,4.145,534.236,-1305.772,60.0,74.482,50.076,living_room
53.0,54.0,86.496,53.521,2.038,1.851,-611.592,553.073,2370.886,35.326,30.61,73.163,63.6,158.2,6.307,8.923,512.532,-1307.063,60.0,39.196,60.57,living_room
54.0,55.0,78.458,65.162,4.629,3.906,-605.761,409.163,2122.441,17.677,44.175,75.418,94.44,182.68,10.636,6.491,683.7,-1354.1,60.0,57.545,36.956,living_room
55.0,56.0,91.288,71.442,8.197,1.219,-471.278,332.393,1951.468,65.032,13.413,37.279,87.667,197.0,6.394,0.0,587.128,-1345.26,60.0,53.906,25.753,living_room
56.0,57.0,108.889,63.085,1.899,1.654,-358.13,398.913,1998.487,11.801,13.394,11.725,85.286,194.619,3.561,2.439,587.656,-1360.744,60.0,28.245,14.089,living_room
57.0,58.0,141.041,69.668,17.841,2.967,-131.449,342.686,1939.494,123.963,26.683,41.266,85.533,189.533,4.287,9.28,579.311,-1284.221,60.0,34.317,41.28,living_room
58.0,59.0,205.592,62.235,17.423,6.488,315.833,395.883,1946.682,131.585,59.686,85.573,76.034,185.966,5.109,13.652,529.113,-1261.668,60.0,22.924,52.07,living_room
59.0,60.0,247.692,47.51,9.467,2.193,698.265,575.972,2264.057,93.072,32.53,63.123,76.259,149.519,3.968,3.155,625.872,-1178.63,60.0,46.013,17.189,living_room
60.0,61.0,260.352,47.101,1.296,1.635,798.68,580.329,2269.691,10.99,18.482,22.521,78.286,145.714,2.218,1.097,645.016,-1151.533,60.0,14.259,16.185,living_room
61.0,62.0,259.936,44.343,3.974,1.063,813.705,616.244,2322.664,26.673,12.716,25.497,72.571,143.571,2.47,1.05,612.996,-1160.932,60.0,19.577,17.768,living_room
