start,end,x_mean,y_mean,z_mean,label
37.0,38.0,0.952,0.107,0.222,t_turn
38.0,39.0,0.913,0.318,0.052,t_turn
39.0,40.0,0.547,0.495,0.538,t_turn
40.0,41.0,0.458,0.351,0.871,t_turn
41.0,42.0,-0.379,0.657,0.164,t_turn
42.0,43.0,-0.651,0.535,-0.353,t_turn
43.0,44.0,-0.727,0.493,0.028,t_turn
44.0,45.0,-0.627,0.621,-0.201,t_turn
45.0,46.0,-0.613,0.626,-0.203,t_turn
46.0,47.0,-0.627,0.342,-0.496,t_turn
47.0,48.0,-0.789,0.271,-0.31,t_turn
48.0,49.0,-0.948,0.301,0.049,t_turn
49.0,50.0,-1.0,0.44,0.096,t_turn
50.0,51.0,,,,t_turn
51.0,52.0,,,,t_turn
52.0,53.0,-0.886,0.189,0.158,t_turn
53.0,54.0,,,,t_turn
54.0,55.0,,,,t_turn
55.0,56.0,,,,t_turn
56.0,57.0,,,,t_turn
57.0,58.0,,,,t_turn
58.0,59.0,-0.4,0.494,0.561,t_turn
59.0,60.0,0.511,-0.085,0.772,t_turn
60.0,61.0,-1.167,0.295,0.265,t_turn
61.0,62.0,-0.968,0.308,0.229,t_turn
62.0,63.0,-0.684,0.634,0.252,t_turn
63.0,64.0,-0.378,0.82,0.132,t_turn
64.0,65.0,,,,t_turn
65.0,66.0,,,,t_turn
66.0,67.0,,,,t_turn
67.0,68.0,,,,t_turn
68.0,69.0,,,,t_turn
69.0,70.0,,,,t_turn
70.0,71.0,0.996,0.277,0.11,t_turn
71.0,72.0,,,,t_turn
72.0,73.0,,,,t_turn
73.0,74.0,,,,t_turn
74.0,75.0,,,,t_turn
75.0,76.0,,,,t_turn
76.0,77.0,,,,t_turn
77.0,78.0,,,,t_turn
78.0,79.0,-0.582,0.701,-0.077,t_turn
79.0,80.0,,,,t_turn
80.0,81.0,-0.902,0.228,0.243,t_turn
81.0,82.0,,,,t_turn
82.0,83.0,,,,t_turn
83.0,84.0,,,,t_turn
84.0,85.0,,,,t_turn
85.0,86.0,,,,t_turn
86.0,87.0,,,,t_turn
87.0,88.0,,,,t_turn
88.0,89.0,,,,t_turn
89.0,90.0,,,,t_turn
90.0,91.0,,,,t_turn
91.0,92.0,,,,t_turn
92.0,93.0,,,,t_turn
93.0,94.0,,,,t_turn
94.0,95.0,-0.906,0.017,-0.12,t_turn
95.0,96.0,-0.923,0.043,-0.123,t_turn
96.0,97.0,,,,t_turn
97.0,98.0,,,,t_turn
98.0,99.0,-0.964,0.205,0.154,t_turn
99.0,100.0,,,,t_turn
100.0,101.0,-0.786,0.255,0.184,t_turn
101.0,102.0,-1.025,0.177,0.072,t_turn
102.0,103.0,,,,t_turn
103.0,104.0,-0.907,0.25,0.146,t_turn
104.0,105.0,-0.932,0.249,0.175,t_turn
105.0,106.0,-0.932,0.288,0.088,t_turn
106.0,107.0,,,,t_turn
107.0,108.0,-0.872,0.306,0.161,t_turn
108.0,109.0,-0.89,0.244,0.145,t_turn
109.0,110.0,,,,t_turn
110.0,111.0,-0.882,0.145,0.259,t_turn
111.0,112.0,,,,t_turn
112.0,113.0,,,,t_turn
113.0,114.0,,,,t_turn
114.0,115.0,,,,t_turn
115.0,116.0,,,,t_turn
116.0,117.0,,,,t_turn
117.0,118.0,0.797,-0.242,0.072,t_turn
118.0,119.0,,,,t_turn
119.0,120.0,,,,t_turn
120.0,121.0,,,,t_turn
121.0,122.0,,,,t_turn
122.0,123.0,,,,t_turn
123.0,124.0,,,,t_turn
124.0,125.0,,,,t_turn
125.0,126.0,,,,t_turn
126.0,127.0,,,,t_turn
127.0,128.0,,,,t_turn
128.0,129.0,,,,t_turn
129.0,130.0,,,,t_turn
130.0,131.0,,,,t_turn
131.0,132.0,,,,t_turn
132.0,133.0,-0.458,-0.2,-0.302,t_turn
133.0,134.0,,,,t_turn
134.0,135.0,,,,t_turn
135.0,136.0,,,,t_turn
136.0,137.0,,,,t_turn
137.0,138.0,-0.744,0.208,0.043,t_turn
138.0,139.0,-0.835,0.516,-0.056,t_turn
139.0,140.0,-0.838,0.281,-0.288,t_turn
140.0,141.0,-0.804,0.432,-0.195,t_turn
141.0,142.0,-0.78,0.553,-0.04,t_turn
142.0,143.0,-0.744,0.53,-0.073,t_turn
143.0,144.0,-0.848,0.469,0.03,t_turn
144.0,145.0,-0.784,0.298,0.436,t_turn
145.0,146.0,,,,t_turn
146.0,147.0,,,,t_turn
147.0,148.0,,,,t_turn
148.0,149.0,-0.826,0.256,0.294,t_turn
149.0,150.0,-0.884,0.296,0.311,t_turn
