start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height
48.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,64.0,0.02463,0.24605,0.0043,0.00547,0.00153,0.63789,0.32557,0.00613,0.00663,0.00843,0.001,0.03887,0.001,0.001,0.00103,0.94438,0.00116,0.00149
64.0,65.0,0.02476,0.24593,0.00404,0.0064,0.00201,0.63789,0.3252,0.00638,0.00736,0.00996,0.001,0.03887,0.001,0.001,0.001,0.9445,0.00119,0.00159
65.0,66.0,0.02429,0.23798,0.03323,0.16076,0.00232,0.64585,0.32433,0.00865,0.18388,0.0594,0.00509,0.04988,0.07916,0.1937,0.00457,0.93191,0.07258,0.23109
66.0,67.0,0.02018,0.19824,0.05893,0.29071,0.001,0.68632,0.32091,0.0074,0.33311,0.10867,0.02965,0.12356,0.09603,0.40696,0.02649,0.8458,0.08645,0.48865
67.0,68.0,0.02387,0.24104,0.0033,0.0078,0.00208,0.64276,0.32405,0.00745,0.00924,0.01157,0.01635,0.03887,0.001,0.001,0.01501,0.94487,0.00129,0.0017
68.0,69.0,0.02143,0.20186,0.05686,0.31253,0.00238,0.68241,0.32091,0.00614,0.35856,0.1068,0.02905,0.11117,0.10112,0.37334,0.02596,0.86046,0.0914,0.44836
69.0,70.0,0.03497,0.23343,0.33198,0.07754,0.02305,0.64596,0.31207,0.57699,0.07858,0.52995,0.08344,0.11537,0.69348,0.75766,0.064,0.87433,0.53367,0.74494
70.0,71.0,0.07093,0.12415,0.13832,0.1381,0.11221,0.72938,0.25435,0.21798,0.18744,0.30524,0.53883,0.76261,0.09524,0.05339,0.42951,0.19702,0.06849,0.08292
71.0,72.0,0.07591,0.10856,0.03163,0.03204,0.09165,0.76146,0.28546,0.04924,0.0347,0.04926,0.52867,0.73516,0.02734,0.01754,0.45293,0.16668,0.01902,0.0199
72.0,73.0,0.07419,0.10088,0.03563,0.04264,0.08882,0.76995,0.28676,0.03077,0.05115,0.03337,0.52721,0.72301,0.05094,0.01818,0.45313,0.1781,0.04777,0.02843
