t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z,room
63.04,40.4308700562,98.1776275635,45.0,111.0,38.0,84.0,-1211.68566895,221.142852783,2889.85717773,-1177.48120117,92.150680542,2919.85717773,-1223.48510742,361.028381348,2859.85717773,living_room
63.056,40.4442367554,98.5668792725,45.0,111.0,38.0,84.0,-1211.26477051,217.147064209,2889.17651367,-1177.20666504,92.129196167,2919.17651367,-1223.19384766,360.942443848,2859.17651367,living_room
63.087,40.379524231,98.3419113159,45.0,111.0,38.0,84.0,-1211.35290527,219.323532104,2887.82348633,-1176.66088867,92.0864944458,2917.82348633,-1222.61499023,360.77166748,2857.82348633,living_room
63.118,40.4863128662,98.4565124512,45.0,111.0,38.0,84.0,-1213.17138672,218.685714722,2894.74291992,-1179.45129395,92.3048706055,2924.74291992,-1225.57519531,361.645172119,2864.74291992,living_room
63.165,40.2126541138,98.1660614014,45.0,111.0,38.0,84.0,-1213.15625,221.125,2888.09375,-1176.77001953,92.0950241089,2918.09375,-1222.73059082,360.805755615,2858.09375,living_room
63.212,40.385055542,98.2314987183,45.0,111.0,38.0,84.0,-1211.61767578,220.5,2888.58813477,-1176.96923828,92.1106262207,2918.58813477,-1222.94213867,360.86819458,2858.58813477,living_room
63.243,40.2126541138,98.3049163818,45.0,111.0,38.0,84.0,-1213.15625,219.71875,2888.09375,-1176.77001953,92.0950241089,2918.09375,-1222.73059082,360.805755615,2858.09375,living_room
63.275,40.271774292,98.1585998535,45.0,111.0,38.0,84.0,-1212.45458984,221.18182373,2887.84863281,-1176.67114258,92.0872879028,2917.84863281,-1222.62585449,360.774810791,2857.84863281,living_room
63.306,40.2116165161,98.304145813,45.0,111.0,38.0,84.0,-1213.46875,219.78125,2888.8125,-1177.05981445,92.1177062988,2918.8125,-1223.03808594,360.896514893,2858.8125,living_room
63.337,40.4866867065,98.4443054199,45.0,111.0,38.0,84.0,-1211.37145996,218.485717773,2890.45727539,-1177.72314453,92.1696166992,2920.45727539,-1223.74182129,361.104125977,2860.45727539,living_room
63.4,40.4417266846,98.5831985474,45.0,111.0,38.0,84.0,-1210.73535156,216.882354736,2887.85302734,-1176.67285156,92.0874252319,2917.85302734,-1222.62756348,360.775390625,2857.85302734,living_room
63.462,40.4905014038,98.4461898804,45.0,111.0,38.0,84.0,-1210.17138672,218.257141113,2887.68579102,-1176.60546875,92.0821533203,2917.68579102,-1222.55615234,360.754272461,2857.68579102,living_room
63.525,40.4425506592,98.6028823853,45.0,111.0,38.0,84.0,-1211.67651367,216.852935791,2890.11767578,-1177.58605957,92.1588973999,2920.11767578,-1223.59643555,361.061279297,2860.11767578,living_room
63.556,40.3821105957,98.2196578979,45.0,111.0,38.0,84.0,-1213.41174316,220.941177368,2892.79418945,-1178.66552734,92.2433700562,2922.79418945,-1224.74157715,361.399169922,2862.79418945,living_room
63.618,40.334602356,98.2366790771,45.0,111.0,38.0,84.0,-1214.66674805,220.909103394,2894.63647461,-1179.40844727,92.3015136719,2924.63647461,-1225.52966309,361.631744385,2864.63647461,living_room
63.65,40.3333358765,98.2275009155,45.0,111.0,38.0,84.0,-1214.66674805,221.0,2894.60620117,-1179.39624023,92.3005599976,2924.60620117,-1225.51672363,361.62789917,2864.60620117,living_room
63.681,40.4868621826,98.4437789917,45.0,111.0,38.0,84.0,-1211.65710449,218.542861938,2891.14282227,-1177.99951172,92.1912536621,2921.14282227,-1224.03503418,361.190704346,2861.14282227,living_room
63.712,40.2743682861,98.4406814575,45.0,111.0,38.0,84.0,-1212.53125,218.34375,2888.09375,-1176.77001953,92.0950241089,2918.09375,-1222.73059082,360.805755615,2858.09375,living_room
63.775,40.4426269531,98.5687255859,45.0,111.0,38.0,84.0,-1212.20593262,217.294113159,2891.38232422,-1178.09619141,92.1988143921,2921.38232422,-1224.13757324,361.220916748,2861.38232422,living_room
63.806,40.4911117554,98.4395980835,45.0,111.0,38.0,84.0,-1210.42858887,218.371429443,2888.31420898,-1176.85888672,92.1019821167,2918.31420898,-1222.82495117,360.833618164,2858.31420898,living_room
63.837,40.4407272339,98.5756759644,45.0,111.0,38.0,84.0,-1209.5,216.735290527,2884.88232422,-1175.47497559,91.9936676025,2914.88232422,-1221.35668945,360.400360107,2854.88232422,living_room
63.868,40.3836898804,98.2273178101,45.0,111.0,38.0,84.0,-1212.85290527,220.764709473,2891.5,-1178.14355469,92.2025299072,2921.5,-1224.18786621,361.235778809,2861.5,living_room
63.9,40.3316650391,98.3477478027,45.0,111.0,38.0,84.0,-1214.06066895,219.666671753,2893.12133789,-1178.79736328,92.2537002563,2923.12133789,-1224.88146973,361.440460205,2863.12133789,living_room
63.931,40.4379577637,98.6001968384,45.0,111.0,38.0,84.0,-1211.73535156,216.882354736,2890.14697266,-1177.59802246,92.1598205566,2920.14697266,-1223.60900879,361.064971924,2860.14697266,living_room
63.962,40.3876342773,98.604019165,45.0,111.0,38.0,84.0,-1212.27270508,216.848495483,2890.2121582,-1177.62426758,92.1618804932,2920.2121582,-1223.63684082,361.073181152,2860.2121582,living_room
64.009,40.3292541504,98.4148254395,45.0,111.0,38.0,84.0,-1210.96972656,218.424255371,2885.69702148,-1175.8034668,92.0193862915,2915.69702148,-1221.70532227,360.503204346,2855.69702148,living_room
64.025,40.4358139038,98.4634628296,45.0,111.0,38.0,84.0,-1211.41174316,218.205886841,2889.32348633,-1177.26586914,92.1338348389,2919.32348633,-1223.25671387,360.960998535,2859.32348633,living_room
64.056,40.3935241699,98.6092529297,45.0,111.0,38.0,84.0,-1212.84851074,216.909103394,2891.72729492,-1178.23522949,92.2097015381,2921.72729492,-1224.28515625,361.264465332,2861.72729492,living_room
64.087,40.4408798218,98.2828216553,45.0,111.0,38.0,84.0,-1211.32348633,220.029418945,2889.23535156,-1177.23034668,92.1310501099,2919.23535156,-1223.21911621,360.949890137,2859.23535156,living_room
64.134,40.4356536865,98.617980957,45.0,111.0,38.0,84.0,-1209.97058105,216.382354736,2885.88232422,-1175.8782959,92.0252380371,2915.88232422,-1221.78466797,360.526580811,2855.88232422,living_room
64.165,40.3846969604,98.2396240234,45.0,111.0,38.0,84.0,-1212.55883789,220.588241577,2890.82348633,-1177.87072754,92.1811752319,2920.82348633,-1223.8984375,361.150360107,2860.82348633,living_room
64.197,40.2701950073,98.1685028076,45.0,111.0,38.0,84.0,-1209.69702148,220.575759888,2881.24243164,-1174.00708008,91.8787994385,2911.24243164,-1219.79956055,359.940856934,2851.24243164,living_room
64.244,40.4892272949,98.2694854736,45.0,111.0,38.0,84.0,-1211.65710449,220.314285278,2891.19995117,-1178.02270508,92.1930541992,2921.19995117,-1224.05957031,361.197906494,2861.19995117,living_room
64.275,40.4352493286,98.5754547119,45.0,111.0,38.0,84.0,-1211.67651367,217.117645264,2889.94116211,-1177.51501465,92.1533279419,2919.94116211,-1223.52099609,361.038970947,2859.94116211,living_room
64.306,40.4729690552,98.0546798706,45.0,111.0,38.0,84.0,-1209.44445801,222.055557251,2885.52783203,-1175.73522949,92.0140457153,2915.52783203,-1221.6328125,360.481842041,2855.52783203,living_room
64.337,40.5326080322,98.2161865234,45.0,111.0,38.0,84.0,-1207.44445801,220.166671753,2882.19458008,-1174.39111328,91.9088516235,2912.19458008,-1220.20690918,360.061035156,2852.19458008,living_room
64.384,40.4333572388,98.1602172852,45.0,111.0,38.0,84.0,-1209.59997559,220.942855835,2884.94287109,-1175.49938965,91.9955825806,2914.94287109,-1221.38256836,360.40802002,2854.94287109,living_room
64.431,40.4855422974,98.4451599121,45.0,111.0,38.0,84.0,-1209.37145996,218.11428833,2885.65722656,-1175.78747559,92.0181274414,2915.65722656,-1221.68835449,360.498168945,2855.65722656,living_room
64.462,40.3856048584,98.330368042,45.0,111.0,38.0,84.0,-1210.97058105,219.382354736,2887.05883789,-1176.35266113,92.0623626709,2917.05883789,-1222.2878418,360.675109863,2857.05883789,living_room
64.494,40.3826293945,98.3326873779,45.0,111.0,38.0,84.0,-1211.61767578,219.470596313,2888.52954102,-1176.94567871,92.1087799072,2918.52954102,-1222.91699219,360.860778809,2858.52954102,living_room
64.525,40.4899291992,98.4393844604,45.0,111.0,38.0,84.0,-1210.42858887,218.371429443,2888.28564453,-1176.84741211,92.1010818481,2918.28564453,-1222.81274414,360.829986572,2858.28564453,living_room
64.556,40.5430679321,98.6106185913,45.0,111.0,38.0,84.0,-1210.80004883,216.800003052,2890.45727539,-1177.72314453,92.1696166992,2920.45727539,-1223.74182129,361.104125977,2860.45727539,living_room
64.587,40.4388275146,98.580291748,45.0,111.0,38.0,84.0,-1210.76477051,216.911758423,2887.85302734,-1176.67285156,92.0874252319,2917.85302734,-1222.62756348,360.775390625,2857.85302734,living_room
64.619,40.3921585083,98.6641998291,45.0,111.0,38.0,84.0,-1211.90917969,216.18182373,2889.45458984,-1177.31872559,92.1379699707,2919.45458984,-1223.31274414,360.97756958,2859.45458984,living_room
64.65,40.3233108521,98.2326965332,45.0,111.0,38.0,84.0,-1210.3939209,220.151519775,2884.18188477,-1175.19238281,91.9715652466,2914.18188477,-1221.05712891,360.311920166,2854.18188477,living_room
64.681,40.3321838379,98.2465667725,45.0,111.0,38.0,84.0,-1211.57580566,220.242431641,2887.2121582,-1176.41455078,92.067199707,2917.2121582,-1222.35351562,360.694488525,2857.2121582,living_room
64.744,40.3815536499,98.2311706543,45.0,111.0,38.0,84.0,-1214.05883789,220.941177368,2894.32348633,-1179.28222656,92.2916412354,2924.32348633,-1225.39575195,361.592193604,2864.32348633,living_room
64.775,40.2157363892,98.0461883545,45.0,111.0,38.0,84.0,-1212.46875,222.21875,2886.53125,-1176.13989258,92.0457077026,2916.53125,-1222.06213379,360.608520508,2856.53125,living_room
64.806,40.2705688477,98.0637588501,45.0,111.0,38.0,84.0,-1212.84851074,222.212127686,2888.75756836,-1177.03759766,92.1159744263,2918.75756836,-1223.01452637,360.889587402,2858.75756836,living_room
64.837,40.487739563,98.4608001709,45.0,111.0,38.0,84.0,-1211.97143555,218.428573608,2891.91430664,-1178.31066895,92.2155990601,2921.91430664,-1224.36523438,361.288085938,2861.91430664,living_room
64.869,40.4440307617,98.5770721436,45.0,111.0,38.0,84.0,-1212.5,217.264709473,2892.11767578,-1178.39257812,92.2220230103,2922.11767578,-1224.45214844,361.313751221,2862.11767578,living_room
64.9,40.5478057861,98.6268310547,45.0,111.0,38.0,84.0,-1209.91430664,216.485717773,2888.45727539,-1176.91650391,92.1064987183,2918.45727539,-1222.88623047,360.851654053,2858.45727539,living_room
64.931,40.4884490967,98.4306106567,45.0,111.0,38.0,84.0,-1210.74291992,218.514282227,2889.0,-1177.13549805,92.123626709,2919.0,-1223.1184082,360.920166016,2859.0,living_room
64.962,40.4869003296,98.4297561646,45.0,111.0,38.0,84.0,-1209.2857666,218.257141113,2885.48583984,-1175.71826172,92.0127182007,2915.48583984,-1221.61486816,360.4765625,2855.48583984,living_room
65.009,40.4306793213,98.1724395752,45.0,111.0,38.0,84.0,-1211.40002441,221.142852783,2889.17138672,-1177.20458984,92.1290359497,2919.17138672,-1223.19165039,360.941802979,2859.17138672,living_room
65.025,40.4834136963,98.4503707886,45.0,111.0,38.0,84.0,-1211.42858887,218.428573608,2890.5144043,-1177.74609375,92.1714172363,2920.5144043,-1223.76611328,361.111358643,2860.5144043,living_room
65.072,40.4905395508,98.4563217163,45.0,111.0,38.0,84.0,-1211.05712891,218.314285278,2889.80004883,-1177.45800781,92.1488723755,2919.80004883,-1223.46057129,361.021179199,2859.80004883,living_room
65.119,40.3334274292,98.3694763184,45.0,111.0,38.0,84.0,-1214.42431641,219.515151978,2894.03027344,-1179.16394043,92.2823791504,2924.03027344,-1225.27038574,361.555206299,2864.03027344,living_room
65.15,40.4352111816,98.4575271606,45.0,111.0,38.0,84.0,-1213.20593262,218.588241577,2893.58813477,-1178.9855957,92.2684249878,2923.58813477,-1225.08117676,361.499389648,2863.58813477,living_room
65.181,40.3935928345,98.5911331177,45.0,111.0,38.0,84.0,-1210.63635254,216.696975708,2886.45458984,-1176.10888672,92.0432891846,2916.45458984,-1222.02941895,360.598846436,2856.45458984,living_room
65.212,40.4861373901,98.4682998657,45.0,111.0,38.0,84.0,-1212.88574219,218.514282227,2894.05712891,-1179.17480469,92.2832260132,2924.05712891,-1225.28186035,361.55859375,2864.05712891,living_room
65.244,40.4418411255,98.5780944824,45.0,111.0,38.0,84.0,-1210.11767578,216.823532104,2886.38232422,-1176.07983398,92.0410079956,2916.38232422,-1221.99841309,360.58972168,2856.38232422,living_room
65.275,40.4277877808,98.1705703735,45.0,111.0,38.0,84.0,-1210.54284668,221.0,2887.05712891,-1176.35192871,92.0623092651,2917.05712891,-1222.28723145,360.674926758,2857.05712891,living_room
65.306,40.4728164673,98.0523529053,45.0,111.0,38.0,84.0,-1209.16662598,222.027786255,2884.86108398,-1175.46630859,91.9930038452,2914.86108398,-1221.34765625,360.397674561,2854.86108398,living_room
65.337,40.3706130981,97.8764038086,45.0,111.0,38.0,84.0,-1211.08569336,223.971435547,2886.97143555,-1176.31738281,92.0596084595,2916.97143555,-1222.25048828,360.664093018,2856.97143555,living_room
65.369,40.5722045898,98.1175308228,45.0,111.0,38.0,84.0,-1209.83789062,221.675674438,2888.86499023,-1177.08105469,92.1193618774,2918.86499023,-1223.06054688,360.903137207,2858.86499023,living_room
65.4,40.4433135986,98.4632492065,45.0,111.0,38.0,84.0,-1211.32348633,218.205886841,2889.29418945,-1177.25402832,92.1329116821,2919.29418945,-1223.24414062,360.957305908,2859.29418945,living_room
65.431,40.4850845337,98.3363342285,45.0,111.0,38.0,84.0,-1212.2857666,219.742858887,2892.60009766,-1178.58728027,92.2372436523,2922.60009766,-1224.65844727,361.374664307,2862.60009766,living_room
65.462,40.3980484009,98.5976715088,45.0,111.0,38.0,84.0,-1212.48486328,216.969696045,2890.96972656,-1177.92980957,92.1857910156,2920.96972656,-1223.96105957,361.168823242,2860.96972656,living_room
