start,end,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
7.0,8.0,0.72597,0.0,0.56033,0.5501
8.0,9.0,0.73006,0.0,0.48875,0.5501
9.0,10.0,0.71779,0.0,0.48875,0.55828
10.0,11.0,0.72597,0.0,0.49284,0.55828
11.0,12.0,0.6728,0.0,0.54192,0.51329
12.0,13.0,0.62372,0.0,0.62781,0.54192
13.0,14.0,0.591,0.0,0.62372,0.53374
14.0,15.0,0.591,0.0,0.62679,0.52965
15.0,16.0,0.0,0.0,0.64826,0.55419
16.0,17.0,0.60634,0.0,0.63599,0.48466
17.0,18.0,0.63865,0.0,0.58078,0.47239
18.0,19.0,0.55419,0.0,0.48466,0.37832
19.0,20.0,0.53374,0.0,0.52147,0.32106
20.0,21.0,0.62781,0.0,0.51738,0.48466
21.0,22.0,0.61554,0.0,0.3865,0.58282
22.0,23.0,0.29652,0.0,0.40695,0.56237
23.0,24.0,0.42331,0.0,0.64008,0.81595
24.0,25.0,0.55828,0.0,0.56544,0.78016
25.0,26.0,0.75971,0.0,0.63599,0.76687
26.0,27.0,0.0,0.0,0.82618,0.71779
27.0,28.0,0.84663,0.0,0.92843,0.78528
28.0,29.0,0.80777,0.0,0.62372,0.7546
29.0,30.0,0.85685,0.0,0.73824,0.68507
30.0,31.0,0.81595,0.0,0.74438,0.67791
31.0,32.0,0.90798,0.0,0.84663,0.82618
32.0,33.0,0.0,0.0,0.74785,0.78875
33.0,34.0,0.7955,0.0,0.81595,0.8092
34.0,35.0,0.0,0.0,0.96933,0.69734
35.0,36.0,0.0,0.0,0.0,0.69734
36.0,37.0,0.0,0.0,0.0,0.57464
37.0,38.0,0.0,0.0,0.0,0.54601
38.0,39.0,0.0,0.0,0.0,0.54601
39.0,40.0,0.0,0.0,0.0,0.70961
40.0,41.0,0.0,0.0,0.0,0.68098
41.0,42.0,0.0,0.0,0.0,0.81595
42.0,43.0,0.0,0.0,0.85685,0.70348
43.0,44.0,0.0,0.0,0.0,0.5092
