start,end,0,1,2,3,4,target_vector
7.0,8.0,-1987.16946341615,9.174757082383369,-5.13132413566959,-24.407215994731605,13.115193369824807,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8.0,9.0,-1987.1155667253956,9.301779200665294,-5.23588556232386,-24.480258016165102,13.042681917255132,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9.0,10.0,-1987.1177956053248,9.269857366278709,-5.212089835930889,-24.448872666645777,13.033275157926932,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.0,11.0,-1987.1187537276924,9.272434603130389,-5.209390445434709,-24.449745711073692,13.04191934960655,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11.0,12.0,-1987.1733528741731,9.224249656805897,-5.22050997204454,-24.501960036897174,13.079484293267996,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12.0,13.0,-1987.2461544081514,8.958691947579096,-5.010993089276125,-24.30355207638249,13.1327992977581,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13.0,14.0,-1987.2523438614908,8.945486617145798,-5.022067705577924,-24.312111745635562,13.11346326896615,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14.0,15.0,-1987.2550760763977,8.949132471475403,-5.0268777463312615,-24.321012806416118,13.118029372650227,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15.0,16.0,-1987.7103292500394,6.8467547516462055,-4.222914363692102,-23.18956416201315,12.188023740148877,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16.0,17.0,-1987.2628766211583,9.048526487132934,-5.122877226055845,-24.45341242806879,13.151053187798093,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17.0,18.0,-1987.2151085869043,9.206564237498515,-5.244424196640672,-24.563522865966842,13.115232548108525,"[0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18.0,19.0,-1987.1758835082235,9.476617534370577,-5.563066004186412,-24.884465015648175,13.000673027031665,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19.0,20.0,-1987.2147168422157,9.514974868227489,-5.632001745996211,-25.003867252648398,13.04713808274167,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.0,21.0,-1987.169989875782,9.276944684581423,-5.30194415175303,-24.583100368221974,13.039135608376077,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21.0,22.0,-1987.065687888289,9.273712055277269,-5.260808054401707,-24.41632969251269,12.86311638225911,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22.0,23.0,1155.0462016273234,-183.20235390393387,25.452297825198848,583.3028244756455,133.24972174219624,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23.0,24.0,597.8924415881104,-66.15382425872912,155.96873869727852,592.9003054497098,129.07773416475877,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24.0,25.0,435.2073317629564,-33.07694695702222,156.52456802109927,539.8009910944891,122.80177189622955,"[0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25.0,26.0,227.91239434696473,-446.68370658049326,118.09407661561173,411.6569231673708,83.0068461237683,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
