start,end,x_mean,y_mean,z_mean,location,location_idx,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,room,label
7.0,8.0,-0.708,0.384,0.592,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
8.0,9.0,-0.712,0.402,0.574,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
9.0,10.0,-0.711,0.407,0.574,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
10.0,11.0,-0.71,0.407,0.571,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
11.0,12.0,-0.686,0.449,0.56,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
12.0,13.0,-0.629,0.563,0.531,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
13.0,14.0,-0.618,0.573,0.531,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
14.0,15.0,-0.617,0.568,0.536,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
15.0,16.0,-0.625,0.565,0.535,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
16.0,17.0,-0.56,0.587,0.586,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
17.0,18.0,-0.477,0.634,0.641,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
18.0,19.0,-0.415,0.576,0.685,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,a_walk
19.0,20.0,-0.744,0.494,0.501,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,a_walk
20.0,21.0,-0.754,0.434,0.361,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,a_walk
21.0,22.0,-0.809,0.463,0.369,study,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,a_walk
22.0,23.0,-0.854,0.424,0.264,hall,3,177.63,162.121,10.34,4.63,180.035,-422.354,2867.909,110.217,36.528,116.89,59.5,116.375,9.152,1.166,600.593,-1182.524,60.0,81.214,53.833,hallway,a_walk
23.0,24.0,-0.86,0.383,0.203,hall,3,158.785,175.521,4.942,3.112,-7.819,-461.753,2372.135,41.603,34.289,132.954,60.444,113.667,4.609,0.943,504.114,-958.156,60.0,66.325,60.449,hallway,a_walk
24.0,25.0,-0.702,0.499,0.412,hall,3,154.914,174.348,2.276,1.893,-39.696,-424.733,2228.406,17.736,16.127,9.664,59.182,112.636,5.149,1.872,461.794,-892.498,60.0,42.147,13.772,hallway,a_walk
25.0,26.0,-0.664,0.679,0.306,hall,3,206.4,182.092,0.0,0.0,328.304,-439.331,2017.722,0.0,0.0,0.0,83.0,99.0,0.0,0.0,598.521,-714.254,60.0,0.0,0.0,hallway,p_stand
26.0,27.0,-0.646,0.684,0.015,living,5,256.116,202.883,15.177,0.5,666.781,-573.345,1972.421,119.073,15.406,41.069,55.667,88.333,18.355,10.873,403.09,-624.34,60.0,119.475,62.78,hallway,a_walk
27.0,28.0,-0.784,0.445,0.337,living,5,277.41,196.259,0.079,0.39,1004.494,-652.43,2439.757,0.988,3.521,1.591,13.0,71.0,0.0,0.0,136.153,-624.161,60.0,0.073,0.396,hallway,t_turn
28.0,29.0,-0.652,0.569,0.264,living,5,277.409,196.291,0.084,0.233,1004.847,-652.939,2440.635,0.765,2.027,1.363,13.0,71.0,0.0,0.0,136.193,-624.38,60.0,0.062,0.339,hallway,t_turn
29.0,30.0,-0.594,0.715,0.085,living,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
30.0,31.0,-0.297,0.547,0.41,living,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
31.0,32.0,0.221,-0.473,0.915,living,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
32.0,33.0,-0.59,0.272,0.713,living,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
33.0,34.0,-0.8,0.365,0.442,living,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,t_turn
34.0,35.0,-0.838,0.355,0.285,living,5,267.053,93.288,21.71,8.056,800.381,197.902,2122.125,181.209,59.649,60.043,60.714,189.571,14.801,5.01,471.725,-1407.95,60.0,104.098,25.388,kitchen,a_walk
35.0,36.0,-0.899,0.329,0.261,living,5,202.552,99.092,19.54,1.686,308.321,150.958,2057.491,142.862,13.472,21.233,71.364,195.909,8.172,11.735,523.062,-1412.334,60.0,55.525,72.991,kitchen,a_walk
36.0,37.0,-0.882,0.318,0.302,living,5,146.588,106.381,4.358,0.244,-91.232,92.773,1942.704,29.338,1.552,9.526,71.609,210.739,1.994,3.138,485.058,-1437.232,60.0,14.634,27.118,kitchen,a_walk
37.0,38.0,-0.897,0.346,0.288,living,5,138.157,109.147,0.458,6.599,-147.488,72.896,1925.868,1.976,43.695,17.468,68.556,205.667,2.061,14.36,459.041,-1389.8,60.0,11.954,83.402,kitchen,a_jump
38.0,39.0,-0.777,0.307,0.329,living,5,143.564,104.878,1.249,5.554,-112.257,102.996,1948.901,7.504,36.574,18.275,71.348,197.609,3.521,10.307,484.793,-1350.582,60.0,20.444,58.208,kitchen,a_jump
39.0,40.0,-0.865,0.28,0.34,living,5,146.789,105.279,1.312,0.717,-91.07,101.5,1966.4,8.785,4.735,5.794,66.7,198.3,1.706,1.706,457.513,-1367.747,60.0,10.625,9.603,kitchen,t_turn
40.0,41.0,-0.857,0.388,0.305,living,5,99.088,101.932,14.053,1.641,-470.74,139.071,2192.762,115.37,14.54,50.731,71.588,184.059,5.647,5.046,537.787,-1414.417,60.0,42.861,17.535,kitchen,a_walk
41.0,42.0,-0.089,0.404,0.811,living,5,73.116,93.043,2.842,5.782,-735.782,230.106,2411.574,56.482,59.681,108.743,71.0,172.429,1.604,10.581,580.616,-1452.772,60.0,25.985,40.662,kitchen,a_walk
