start,end,x_mean,y_mean,z_mean,label
13.0,14.0,-0.885,0.256,0.296,p_stand
14.0,15.0,-0.884,0.256,0.295,p_stand
15.0,16.0,-0.888,0.256,0.294,p_stand
16.0,17.0,-0.885,0.255,0.292,p_stand
17.0,18.0,-0.885,0.259,0.291,p_stand
18.0,19.0,-0.885,0.262,0.288,p_stand
19.0,20.0,-0.886,0.258,0.292,p_stand
20.0,21.0,-0.889,0.258,0.289,p_stand
21.0,22.0,-0.886,0.259,0.286,p_stand
22.0,23.0,-0.885,0.258,0.289,p_stand
23.0,24.0,-0.885,0.26,0.289,p_stand
24.0,25.0,-0.891,0.239,0.283,p_stand
25.0,26.0,-0.885,0.25,0.288,p_stand
26.0,27.0,-0.889,0.259,0.282,p_stand
27.0,28.0,-0.886,0.255,0.282,p_stand
28.0,29.0,-0.888,0.256,0.283,p_stand
29.0,30.0,-0.887,0.253,0.285,p_stand
30.0,31.0,-0.89,0.258,0.282,p_stand
31.0,32.0,-0.887,0.258,0.28,p_stand
32.0,33.0,-0.887,0.255,0.28,p_stand
33.0,34.0,-0.888,0.25,0.279,p_stand
34.0,35.0,-0.894,0.239,0.282,p_stand
35.0,36.0,-0.897,0.281,0.22,p_stand
36.0,37.0,-0.877,0.261,0.313,p_stand
37.0,38.0,-0.871,0.315,0.215,p_stand
38.0,39.0,-0.889,0.207,0.263,p_stand
39.0,40.0,-0.937,0.191,0.237,p_stand
40.0,41.0,-0.929,0.214,0.194,p_stand
41.0,42.0,-0.894,0.266,0.164,p_stand
42.0,43.0,-0.901,0.218,0.192,p_stand
43.0,44.0,-0.9,0.247,0.281,p_stand
44.0,45.0,-0.889,0.242,0.289,p_stand
45.0,46.0,-0.893,0.231,0.283,p_stand
46.0,47.0,-0.897,0.234,0.279,p_stand
47.0,48.0,-0.896,0.235,0.272,p_stand
48.0,49.0,-0.891,0.239,0.271,p_stand
49.0,50.0,-0.893,0.245,0.281,p_stand
50.0,51.0,-0.893,0.245,0.279,p_stand
51.0,52.0,-0.89,0.245,0.279,p_stand
52.0,53.0,-0.891,0.244,0.28,p_stand
53.0,54.0,-0.89,0.243,0.286,p_stand
54.0,55.0,-0.892,0.243,0.282,p_stand
55.0,56.0,-0.891,0.243,0.279,p_stand
56.0,57.0,-0.892,0.244,0.279,p_stand
57.0,58.0,-0.891,0.244,0.28,p_stand
58.0,59.0,-0.891,0.238,0.279,p_stand
59.0,60.0,-0.894,0.242,0.279,p_stand
60.0,61.0,-0.887,0.242,0.278,p_stand
61.0,62.0,-0.892,0.245,0.28,p_stand
62.0,63.0,-0.892,0.239,0.275,p_stand
63.0,64.0,-0.893,0.235,0.274,p_stand
64.0,65.0,-0.893,0.241,0.272,p_stand
65.0,66.0,-0.907,0.222,0.262,p_stand
66.0,67.0,-0.868,0.211,0.35,p_stand
67.0,68.0,-0.917,0.255,0.193,p_stand
68.0,69.0,-0.888,0.258,0.259,p_stand
69.0,70.0,-0.901,0.224,0.24,p_stand
70.0,71.0,-0.899,0.228,0.245,p_stand
71.0,72.0,-0.896,0.233,0.244,p_stand
72.0,73.0,-0.9,0.235,0.243,p_stand
73.0,74.0,-0.9,0.231,0.239,p_stand
74.0,75.0,-0.901,0.232,0.236,p_stand
75.0,76.0,-0.9,0.234,0.237,p_stand
76.0,77.0,-0.9,0.239,0.242,p_stand
77.0,78.0,-0.898,0.23,0.241,p_stand
78.0,79.0,-0.901,0.23,0.239,p_stand
79.0,80.0,-0.901,0.232,0.247,p_stand
80.0,81.0,-0.897,0.232,0.242,p_stand
81.0,82.0,-0.903,0.239,0.218,p_stand
82.0,83.0,-0.898,0.237,0.238,p_stand
83.0,84.0,-0.901,0.234,0.237,p_stand
84.0,85.0,-0.906,0.223,0.23,p_stand
85.0,86.0,-0.897,0.19,0.296,p_stand
86.0,87.0,-0.656,0.575,0.426,p_stand
87.0,88.0,-0.704,0.592,0.372,p_stand
88.0,89.0,-0.694,0.644,0.172,p_stand
89.0,90.0,-0.704,0.562,-0.099,p_stand
90.0,91.0,-0.769,0.471,0.108,p_stand
91.0,92.0,-0.827,0.417,0.331,p_stand
92.0,93.0,-0.817,0.408,0.388,p_stand
93.0,94.0,-0.959,0.19,0.201,p_stand
94.0,95.0,-0.893,0.209,0.301,p_stand
95.0,96.0,-0.893,0.226,0.285,p_stand
96.0,97.0,-0.869,0.3,0.283,p_stand
97.0,98.0,-0.888,0.278,0.325,p_stand
98.0,99.0,-0.917,0.238,0.286,p_stand
99.0,100.0,-1.076,0.288,0.263,p_stand
100.0,101.0,-0.798,0.202,0.246,p_stand
101.0,102.0,-0.914,0.202,0.235,p_stand
102.0,103.0,-0.886,0.211,0.268,p_stand
103.0,104.0,-0.896,0.224,0.278,p_stand
104.0,105.0,-0.892,0.234,0.277,p_stand
105.0,106.0,-0.861,0.388,0.128,p_stand
106.0,107.0,-0.566,0.581,0.703,p_stand
107.0,108.0,-0.248,-0.294,0.949,p_stand
108.0,109.0,-0.161,-0.442,0.776,p_stand
109.0,110.0,-0.871,0.29,0.614,p_stand
110.0,111.0,-0.843,0.223,0.394,p_stand
111.0,112.0,-0.518,0.603,0.764,p_stand
112.0,113.0,0.073,0.074,0.946,p_stand
113.0,114.0,0.151,0.304,0.994,p_stand
114.0,115.0,0.357,0.009,0.936,p_stand
115.0,116.0,0.573,0.128,0.745,p_stand
116.0,117.0,0.055,0.59,0.804,p_stand
117.0,118.0,-0.953,0.273,0.296,p_stand
118.0,119.0,-0.89,0.24,0.287,p_stand
119.0,120.0,-0.912,0.234,0.302,p_stand
120.0,121.0,-0.86,0.308,0.314,p_stand
121.0,122.0,-0.926,0.181,0.202,p_stand
122.0,123.0,-0.844,0.254,0.301,p_stand
123.0,124.0,-0.93,0.196,0.122,p_stand
