start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,room
28.0,29.0,176.606,175.811,2.026,3.06,161.858,-542.14,2773.016,22.49,18.881,55.768,58.31,107.828,6.503,2.901,569.182,-1061.903,60.0,56.11,47.802,hallway
29.0,30.0,170.374,190.272,2.718,5.377,88.082,-599.717,2441.815,19.624,19.39,107.775,74.474,98.684,9.011,3.45,637.836,-860.081,60.0,50.352,65.706,hallway
38.0,39.0,290.541,61.737,5.65,6.766,1060.645,470.715,2312.72,97.451,45.02,124.766,46.8,137.7,8.761,11.354,401.963,-1104.766,60.0,54.625,66.575,living_room
39.0,40.0,233.145,63.321,27.357,5.4,549.99,424.73,2134.58,210.921,45.256,27.072,73.6,155.133,6.716,11.546,565.017,-1152.934,60.0,47.165,73.319,living_room
40.0,41.0,140.252,81.818,24.435,3.095,-134.841,266.82,1990.273,169.004,26.088,37.604,70.8,181.867,11.092,9.419,488.314,-1263.715,60.0,67.35,45.302,living_room
41.0,42.0,105.547,92.881,2.395,12.15,-359.767,177.21,1886.6,7.951,75.067,65.734,78.852,183.963,2.978,12.7,509.285,-1213.315,60.0,15.398,60.632,living_room
42.0,43.0,107.824,98.791,2.907,5.02,-343.63,139.452,1879.175,15.96,32.047,20.247,74.667,184.583,1.599,9.643,481.288,-1213.728,60.0,8.805,50.709,living_room
43.0,44.0,112.113,98.607,3.026,11.37,-318.924,141.096,1901.724,13.598,72.188,41.502,73.769,181.538,5.577,12.968,480.682,-1207.51,60.0,26.49,62.773,living_room
44.0,45.0,113.782,89.894,1.275,2.115,-308.919,201.192,1906.391,6.665,13.244,12.471,67.08,194.68,1.547,0.926,438.758,-1298.416,60.0,11.351,7.971,living_room
45.0,46.0,108.685,88.208,2.046,0.658,-340.377,210.869,1891.33,14.688,5.076,9.233,72.357,195.0,2.394,0.0,469.592,-1290.241,60.0,17.23,6.314,living_room
46.0,47.0,105.968,86.884,1.916,0.761,-365.083,223.747,1926.599,14.242,6.025,8.842,84.714,193.429,4.772,2.638,561.587,-1303.644,60.0,31.803,23.288,living_room
47.0,48.0,151.647,91.402,23.631,2.152,-57.272,180.82,1800.255,151.183,17.887,56.354,75.138,200.586,9.641,7.6,475.051,-1262.573,60.0,67.778,28.233,living_room
48.0,49.0,250.253,85.015,29.706,4.798,596.937,228.618,1855.082,226.364,40.1,109.864,74.571,185.857,20.863,18.75,499.156,-1198.559,60.0,111.527,63.872,living_room
49.0,50.0,299.15,115.447,3.042,38.326,1096.17,27.074,2245.219,55.636,298.862,70.785,16.2,84.467,4.665,56.867,155.883,-652.628,60.0,33.415,422.715,living_room
51.0,52.0,284.011,71.505,4.588,5.488,915.363,356.355,2102.151,67.431,32.518,81.709,47.333,169.833,12.078,7.414,371.62,-1245.823,60.0,72.523,39.893,living_room
