start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height
28.0,29.0,0.52772,0.79368,0.05904,0.08076,0.535,0.18223,0.25417,0.0973,0.06411,0.17599,0.44951,0.49499,0.24771,0.05196,0.4063,0.67154,0.17849,0.11397
29.0,30.0,0.50469,0.88173,0.07886,0.14116,0.50257,0.14486,0.20039,0.08503,0.06581,0.33917,0.59081,0.44633,0.34285,0.06161,0.46429,0.74237,0.16028,0.15628
30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,39.0,0.94862,0.09909,0.16285,0.17736,0.93006,0.83965,0.17943,0.41828,0.15149,0.39249,0.3489,0.65396,0.33337,0.20046,0.26507,0.6565,0.17379,0.15834
39.0,40.0,0.73658,0.10874,0.78465,0.14176,0.7056,0.80981,0.15051,0.90416,0.15228,0.08595,0.58317,0.74673,0.25579,0.20383,0.40279,0.6396,0.1502,0.17427
40.0,41.0,0.39341,0.22136,0.70094,0.08167,0.40459,0.70731,0.12708,0.72467,0.0882,0.11899,0.55869,0.88899,0.4218,0.16647,0.338,0.60072,0.21405,0.10806
41.0,42.0,0.26521,0.28872,0.06961,0.3177,0.30572,0.64915,0.11024,0.03505,0.25192,0.20726,0.62907,0.90015,0.11398,0.2241,0.35572,0.61841,0.04971,0.14429
42.0,43.0,0.27362,0.32471,0.08427,0.13185,0.31282,0.62464,0.10904,0.06934,0.10812,0.06453,0.59249,0.90345,0.06166,0.1704,0.33207,0.61827,0.02885,0.12084
43.0,44.0,0.28946,0.32359,0.08768,0.29737,0.32368,0.62571,0.1127,0.05923,0.2423,0.13122,0.58464,0.88724,0.21258,0.22881,0.33156,0.62045,0.0848,0.14935
44.0,45.0,0.29563,0.27054,0.03752,0.05613,0.32807,0.66471,0.11345,0.02954,0.04527,0.04013,0.52617,0.95718,0.05969,0.01727,0.29615,0.58855,0.03691,0.01984
45.0,46.0,0.2768,0.26027,0.05961,0.01815,0.31425,0.67099,0.11101,0.06389,0.01797,0.02997,0.5723,0.95888,0.09182,0.001,0.32219,0.59142,0.0555,0.01592
46.0,47.0,0.26676,0.25221,0.05588,0.02084,0.30339,0.67935,0.11674,0.06198,0.02114,0.02874,0.68032,0.95052,0.18204,0.04734,0.39989,0.58671,0.1016,0.05604
