t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z,room
28.002,178.795150757,172.805786133,197.0,235.0,156.0,124.0,186.862487793,-524.998046875,2835.18676758,371.748535156,-1155.43444824,2865.18676758,-39.3473815918,-39.3473815918,2805.18676758,hallway
28.065,178.995956421,174.021621704,199.0,235.0,154.0,124.0,187.927856445,-534.438232422,2821.20996094,389.93145752,-1149.79797363,2851.20996094,-58.7270965576,-39.1513366699,2791.20996094,hallway
28.096,178.935928345,174.67956543,199.0,235.0,152.0,124.0,187.002975464,-539.991455078,2816.22460938,389.249633789,-1147.78759766,2846.22460938,-78.1629104614,-39.0814056396,2786.22460938,hallway
28.127,178.317657471,174.791595459,199.0,235.0,150.0,124.0,181.032608032,-541.502868652,2818.33325195,389.53805542,-1148.63793945,2848.33325195,-97.777557373,-39.1109848022,2788.33325195,hallway
28.159,178.155487061,175.127883911,199.0,235.0,148.0,124.0,179.278991699,-544.368225098,2815.96313477,389.213897705,-1147.68212891,2845.96313477,-117.233314514,-39.0777397156,2785.96313477,hallway
28.19,178.328018188,175.567565918,199.0,235.0,148.0,124.0,180.705169678,-547.868591309,2811.64575195,388.623443604,-1145.94104004,2841.64575195,-117.051635742,-39.0171813965,2781.64575195,hallway
28.221,178.536010742,174.328155518,201.0,235.0,146.0,124.0,183.296875,-537.234375,2819.96875,409.749572754,-1149.29748535,2849.96875,-136.968826294,-39.1339263916,2789.96875,hallway
28.252,178.002319336,173.639419556,201.0,235.0,146.0,124.0,177.366134644,-528.477050781,2809.62011719,408.261688232,-1145.12414551,2839.62011719,-136.460784912,-38.9887695312,2779.62011719,hallway
28.284,177.275726318,174.144439697,203.0,235.0,146.0,124.0,170.561767578,-534.563354492,2815.4699707,429.058868408,-1147.48327637,2845.4699707,-136.747970581,-39.0708198547,2785.4699707,hallway
28.315,179.403747559,173.440856934,203.0,235.0,146.0,126.0,192.010375977,-528.825317383,2821.91796875,430.031158447,-1150.08349609,2851.91796875,-137.064529419,-58.741897583,2791.91796875,hallway
28.346,179.082946777,172.726333618,205.0,235.0,146.0,126.0,188.991088867,-522.183898926,2824.23876953,450.398895264,-1151.01940918,2854.23876953,-137.178466797,-58.7907295227,2794.23876953,hallway
