start,end,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
28.0,29.0,-74.4,-83.12,-74.75,
29.0,30.0,-78.3,-77.0,-83.05,
30.0,31.0,-92.25,-70.85,-93.62,
31.0,32.0,-104.0,-69.8,-94.89,
32.0,33.0,-99.29,-75.25,-92.53,
33.0,34.0,-96.38,-74.35,-88.85,
34.0,35.0,-99.55,-71.75,-92.1,
35.0,36.0,-96.75,-70.9,-89.25,
36.0,37.0,-93.94,-72.55,-88.9,
37.0,38.0,-92.23,-73.4,-88.12,
38.0,39.0,,-70.2,-92.64,
39.0,40.0,,-69.1,-93.0,
40.0,41.0,,-70.9,,
41.0,42.0,,-71.3,,
42.0,43.0,,-70.25,,
43.0,44.0,,-71.1,,
44.0,45.0,,-74.7,,
45.0,46.0,,-73.3,,
46.0,47.0,,-70.35,,
47.0,48.0,,-65.0,-101.0,
48.0,49.0,-100.0,-67.1,-101.0,
49.0,50.0,-98.62,-67.35,-97.53,
50.0,51.0,-95.0,-65.5,-99.0,
51.0,52.0,,-73.3,-99.5,
52.0,53.0,,-72.65,,
53.0,54.0,,-74.3,,
54.0,55.0,-101.0,-70.2,,
55.0,56.0,,-68.55,-96.11,
56.0,57.0,,-69.35,-95.6,
57.0,58.0,,-77.25,,
58.0,59.0,-95.0,-74.2,,
59.0,60.0,,-67.9,-102.0,
60.0,61.0,,-71.95,-98.0,
61.0,62.0,,-72.0,,
62.0,63.0,,-69.1,,
63.0,64.0,,-69.8,,
64.0,65.0,,-71.6,,
65.0,66.0,,-65.4,,
66.0,67.0,-104.0,-65.7,-99.67,
67.0,68.0,-104.0,-65.4,-92.33,
68.0,69.0,,-67.6,-98.33,
69.0,70.0,,-68.9,,
70.0,71.0,,-71.0,,
71.0,72.0,,-72.5,,
72.0,73.0,,-70.8,,
73.0,74.0,,-69.1,,
74.0,75.0,,-70.9,,
75.0,76.0,,-69.5,,
76.0,77.0,,-68.21,,
77.0,78.0,,-71.8,,
78.0,79.0,,-70.8,,
79.0,80.0,,-68.6,,
80.0,81.0,,-68.4,,
81.0,82.0,,-67.2,,
82.0,83.0,,-70.9,,
83.0,84.0,,-69.8,,
84.0,85.0,,-68.9,,
85.0,86.0,,-67.2,,
86.0,87.0,,-69.9,,
87.0,88.0,,-69.0,,
88.0,89.0,,-69.0,,
89.0,90.0,,-68.2,,
90.0,91.0,,-69.1,,
91.0,92.0,,-70.0,,
92.0,93.0,-99.33,-76.0,-97.14,
93.0,94.0,-94.0,-72.5,-96.67,
94.0,95.0,,-72.3,,
95.0,96.0,,-72.8,,
96.0,97.0,,-71.8,,
97.0,98.0,,-70.3,,
98.0,99.0,,-72.1,,
99.0,100.0,,-76.3,,
100.0,101.0,,-77.2,,
101.0,102.0,,-74.0,,
102.0,103.0,,-70.5,,
103.0,104.0,,-69.3,,
104.0,105.0,,-67.3,,
105.0,106.0,-100.0,-66.9,,
106.0,107.0,,-66.7,,
107.0,108.0,,-68.3,,
108.0,109.0,,-68.7,,
109.0,110.0,,-72.1,-101.0,
110.0,111.0,,-76.3,,
111.0,112.0,,-75.42,,
112.0,113.0,,-71.15,,
113.0,114.0,,-69.35,,
114.0,115.0,,-70.3,,
115.0,116.0,,-70.95,,
116.0,117.0,,-70.0,,
117.0,118.0,,-70.1,,
118.0,119.0,,-70.55,,
119.0,120.0,,-69.5,,
120.0,121.0,,-70.6,,
121.0,122.0,,-68.35,,
122.0,123.0,,-68.0,,
123.0,124.0,,-68.0,,
124.0,125.0,,-67.55,,
125.0,126.0,,-66.8,,
126.0,127.0,,-69.5,,
127.0,128.0,,-68.25,,
128.0,129.0,,-70.4,,
129.0,130.0,,-69.1,,
130.0,131.0,,-68.25,,
131.0,132.0,,-69.55,,
132.0,133.0,,-68.65,,
133.0,134.0,,-68.3,,
134.0,135.0,,-68.25,,
135.0,136.0,,-68.1,,
136.0,137.0,,-69.95,,
137.0,138.0,,-71.25,,
138.0,139.0,,-70.65,,
139.0,140.0,,-71.25,,
140.0,141.0,,-71.75,,
141.0,142.0,,-68.6,,
142.0,143.0,,-68.1,,
143.0,144.0,,-69.0,,
144.0,145.0,,-68.7,-103.0,
145.0,146.0,,-68.05,-103.0,
146.0,147.0,,-67.9,,
147.0,148.0,,-69.15,,
148.0,149.0,,-73.1,,
149.0,150.0,,-72.9,,
150.0,151.0,,-73.2,,
151.0,152.0,,-72.2,,
