start,end,location_idx,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr,target_vector
46.0,47.0,3,-73.4,-85.2,-76.75,,,,,,,,,,,,,,,,,,,,,0.9668,-0.4514,0.0262,0.0827368421052631,0.9668,0.955,0.1123555072081471,1.186,0.678,1.186,0.0876842105263158,0.4514,-0.3209999999999999,0.3197981238218886,-0.068,-1.05,1.05,0.0474736842105263,0.1262,0.0829999999999999,0.1387557566373374,0.174,-0.25,0.25,0.4146081841007002,0.3072769832550892,0.8000679564119373,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47.0,48.0,3,-90.38,-75.45,-90.8,,,,,,,,,,,,,,,,,,,,,0.3768999999999999,-0.4088,0.7586,0.3030526315789473,0.4162999999999998,0.376,0.4040180565271805,1.66,-0.228,1.66,0.2372631578947368,0.4178,-0.3259999999999999,0.3622200436198968,0.048,-1.064,1.064,0.195157894736842,0.7684000000000001,0.9,0.3829063070778542,1.214,-0.096,1.214,-0.3154420902804418,-0.4084105123519724,0.4432985061578011,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48.0,49.0,5,,-68.9,-93.0,,,,,,,,,,,,,,,,,,,,,0.6807000000000001,-0.3598,0.5668,0.1622105263157894,0.6973,0.838,0.4729098328434289,1.632,-0.158,1.632,0.1971578947368421,0.3598,-0.35,0.2024943456000685,-0.01,-0.994,0.994,0.1099999999999999,0.5668,0.585,0.2091127925307297,0.934,0.014,0.934,0.0554132535532315,-0.8872002524051765,0.1118794236276229,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49.0,50.0,6,-102.0,-79.15,-97.91,,,,,,,,,,,,,,,,,,,,,0.8571,-0.4462,0.2587,0.0784210526315789,0.8571,0.879,0.1098389275257183,1.02,0.47,1.02,0.0981052631578947,0.4462,-0.428,0.1195038074707245,-0.276,-0.82,0.82,0.049578947368421,0.2587,0.268,0.0634484830393918,0.382,0.114,0.382,0.7725497965555331,0.2057980595306013,0.2968399458106098,"[0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05]"
50.0,51.0,6,-96.67,-81.31,-91.0,,,,,,,,,,,,,,,,,,,,,0.6775,-0.6249999999999999,0.2543,0.0773684210526315,0.6775,0.802,0.2330243549502927,0.888,0.104,0.888,0.118421052631579,0.6249999999999999,-0.538,0.2271779038551064,-0.334,-1.112,1.112,0.0574736842105263,0.2559,0.308,0.1206271528305298,0.38,-0.016,0.38,0.7936626298304528,0.8499802623758136,0.8749034528148545,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
51.0,52.0,5,-94.0,-81.4,-88.4,,,,,,,,,,,,,,,,,,,,,0.8875,-0.2566,0.4346,0.1467368421052631,0.8875,0.88,0.1272098659695859,1.202,0.572,1.202,0.2405263157894736,0.3036,-0.304,0.2564598214145833,0.156,-0.794,0.794,0.1908421052631579,0.4346,0.423,0.1721012492691438,0.972,0.176,0.972,0.694235765362515,0.0290275737408852,-0.0387801128707993,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
52.0,53.0,5,-92.1,-77.6,-90.1,,,,,,,,,,,,,,,,,,,,,0.8667999999999999,-0.3478,0.3783999999999999,0.0579999999999999,0.8667999999999999,0.859,0.077908664473215,1.052,0.684,1.052,0.1848421052631579,0.3494,-0.31,0.202319450374896,0.016,-1.05,1.05,0.077578947368421,0.3783999999999999,0.372,0.0928732469551915,0.6,0.168,0.6,0.0157995861569509,0.3108616391973676,0.2850825798465985,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
53.0,54.0,5,-100.44,-75.1,-93.94,,,,,,,,,,,,,,,,,,,,,0.935,-0.2616,0.2911,0.0434736842105263,0.935,0.939,0.0484293299561329,1.02,0.818,1.02,0.0308421052631579,0.2616,-0.253,0.0403564121299205,-0.194,-0.328,0.328,0.0141052631578947,0.2911,0.292,0.029849455606426,0.344,0.246,0.344,0.2575681758949297,-0.1775746606421118,0.5569903444036697,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45]"
54.0,55.0,5,-92.0,-76.7,-93.93,,,,,,,,,,,,,,,,,,,,,0.9452,-0.2523,0.1592,0.0364210526315789,0.9452,0.943,0.0315429865421776,1.016,0.87,1.016,0.0216842105263157,0.2523,-0.249,0.0273881361176696,-0.206,-0.296,0.296,0.0134736842105263,0.1592,0.149,0.0375574227017776,0.238,0.112,0.238,-0.1452013843868927,-0.1572079013904966,0.0843453769795617,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
55.0,56.0,5,,-71.6,-99.62,,,,,,,,,,,,,,,,,,,,,0.9436,-0.2778,0.1214,0.0136842105263157,0.9436,0.943,0.0111103555298648,0.96,0.92,0.96,0.0104210526315789,0.2778,-0.276,0.0096519428096109,-0.266,-0.304,0.304,0.0101052631578947,0.1214,0.124,0.0094254973343585,0.14,0.102,0.14,0.3644281015108767,-0.0156607160967295,0.3047012326026597,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
