start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height
42.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,48.0,0.94121,0.33647,0.04644,0.0898,0.91341,0.40756,0.23076,0.02944,0.06554,0.07556,0.40991,0.71279,0.13088,0.40043,0.33145,0.40524,0.10973,0.38564
48.0,49.0,0.78427,0.20213,0.49023,0.12637,0.7314,0.50625,0.18592,0.35436,0.09073,0.20347,0.54768,0.97829,0.51972,0.18133,0.37069,0.29581,0.37773,0.10463
49.0,50.0,0.34402,0.32938,0.45543,0.21533,0.37256,0.41355,0.15701,0.27021,0.12703,0.14818,0.7218,0.93523,0.16175,0.28505,0.42223,0.38616,0.15493,0.29027
50.0,51.0,0.16414,0.3077,0.05704,0.29015,0.25368,0.42497,0.1321,0.02377,0.15725,0.07793,0.67314,0.96512,0.09357,0.3459,0.33607,0.42637,0.04972,0.22312
51.0,52.0,0.17977,0.33114,0.0424,0.05166,0.25677,0.41151,0.14225,0.01876,0.02924,0.04869,0.61452,0.95018,0.15692,0.13511,0.31855,0.41082,0.08661,0.12437
52.0,53.0,0.20107,0.33399,0.00533,0.0474,0.27248,0.40972,0.14165,0.00553,0.02687,0.02634,0.56759,0.96634,0.13143,0.04682,0.28907,0.4023,0.07916,0.04677
