start,end,x_mean,y_mean,z_mean,label
42.0,43.0,-0.378,0.316,0.9,p_squat
43.0,44.0,-0.651,0.7,0.157,p_squat
44.0,45.0,-0.31,0.804,0.377,p_squat
45.0,46.0,0.165,0.388,0.918,p_squat
46.0,47.0,0.551,0.278,0.779,p_squat
47.0,48.0,-0.284,0.85,0.631,p_squat
48.0,49.0,-0.406,0.781,0.386,p_squat
49.0,50.0,-0.325,0.871,0.06,p_squat
50.0,51.0,-0.404,0.822,0.132,p_squat
51.0,52.0,-0.404,0.97,0.229,p_squat
52.0,53.0,-0.377,0.852,0.295,p_squat
53.0,54.0,-0.349,0.88,0.183,p_squat
54.0,55.0,-0.32,0.938,0.06,p_squat
55.0,56.0,-0.361,0.791,0.386,p_squat
56.0,57.0,0.126,0.49,0.873,p_squat
57.0,58.0,-0.084,0.808,0.708,p_squat
58.0,59.0,-0.363,0.763,0.505,p_squat
59.0,60.0,-0.256,0.709,0.438,p_squat
60.0,61.0,-0.087,0.667,0.804,p_squat
61.0,62.0,0.134,0.245,0.954,p_squat
62.0,63.0,0.433,0.648,0.656,p_squat
63.0,64.0,0.05,0.206,0.869,p_squat
64.0,65.0,-0.737,0.521,0.177,p_squat
65.0,66.0,-0.718,0.564,0.137,p_squat
66.0,67.0,-0.238,0.908,0.333,p_squat
67.0,68.0,-0.437,0.839,0.334,p_squat
68.0,69.0,-0.31,0.709,0.339,p_squat
69.0,70.0,-0.459,0.841,-0.025,p_squat
70.0,71.0,-0.493,0.772,0.064,p_squat
71.0,72.0,-0.545,0.782,-0.022,p_squat
72.0,73.0,-0.637,0.704,-0.066,p_squat
73.0,74.0,-0.642,0.699,-0.032,p_squat
74.0,75.0,-0.581,0.756,0.015,p_squat
75.0,76.0,-0.68,0.66,0.294,p_squat
76.0,77.0,-0.608,0.681,0.089,p_squat
77.0,78.0,-0.632,0.745,0.058,p_squat
78.0,79.0,-0.668,0.657,-0.002,p_squat
79.0,80.0,-0.665,0.666,0.161,p_squat
80.0,81.0,-0.766,0.693,0.051,p_squat
81.0,82.0,-0.424,0.552,0.475,p_squat
82.0,83.0,-0.217,0.852,0.516,p_squat
83.0,84.0,-0.258,0.836,0.48,p_squat
84.0,85.0,-0.268,0.836,0.487,p_squat
85.0,86.0,-0.309,0.723,0.588,p_squat
86.0,87.0,-0.817,0.433,0.335,p_squat
87.0,88.0,-0.86,0.348,0.281,p_squat
88.0,89.0,-0.755,0.398,0.336,p_squat
89.0,90.0,-0.702,0.474,0.341,p_squat
90.0,91.0,-0.065,0.755,0.723,p_squat
91.0,92.0,-0.008,0.619,0.509,p_squat
92.0,93.0,0.05,0.98,0.208,p_squat
93.0,94.0,0.172,0.91,-0.055,p_squat
94.0,95.0,-0.715,0.562,-0.138,p_squat
95.0,96.0,-0.816,0.498,0.112,p_squat
96.0,97.0,-0.822,0.463,0.126,p_squat
97.0,98.0,-0.783,0.462,0.143,p_squat
98.0,99.0,-0.895,0.317,-0.18,p_squat
99.0,100.0,-0.825,0.334,-0.227,p_squat
100.0,101.0,-0.831,0.312,-0.234,p_squat
101.0,102.0,-0.842,0.321,-0.234,p_squat
102.0,103.0,-0.831,0.336,-0.092,p_squat
103.0,104.0,-0.806,0.51,0.167,p_squat
104.0,105.0,-0.824,0.473,0.118,p_squat
105.0,106.0,-0.806,0.492,0.176,p_squat
106.0,107.0,-0.838,0.435,0.155,p_squat
107.0,108.0,-0.737,0.438,0.143,p_squat
108.0,109.0,-0.919,0.344,-0.071,p_squat
109.0,110.0,-0.776,0.515,0.001,p_squat
110.0,111.0,-0.755,0.572,-0.02,p_squat
111.0,112.0,-0.776,0.526,-0.046,p_squat
112.0,113.0,-0.81,0.503,-0.028,p_squat
113.0,114.0,-0.83,0.282,-0.144,p_squat
114.0,115.0,-0.864,0.431,-0.164,p_squat
115.0,116.0,,,,p_squat
116.0,117.0,,,,p_squat
117.0,118.0,-0.828,0.464,0.079,p_squat
118.0,119.0,-0.815,0.438,0.071,p_squat
119.0,120.0,-0.805,0.174,-0.126,p_squat
120.0,121.0,-0.333,0.921,-0.095,p_squat
121.0,122.0,-0.225,0.913,-0.028,p_squat
122.0,123.0,,,,p_squat
123.0,124.0,,,,p_squat
124.0,125.0,-0.613,0.41,-0.353,p_squat
125.0,126.0,-0.404,0.587,-0.448,p_squat
126.0,127.0,-0.035,0.942,-0.099,p_squat
127.0,128.0,-0.013,0.942,-0.091,p_squat
128.0,129.0,-0.013,0.949,-0.053,p_squat
129.0,130.0,0.019,0.918,-0.159,p_squat
130.0,131.0,0.503,0.762,-0.121,p_squat
131.0,132.0,0.212,0.515,0.474,p_squat
132.0,133.0,,,,p_squat
133.0,134.0,,,,p_squat
134.0,135.0,,,,p_squat
135.0,136.0,0.258,0.925,0.189,p_squat
136.0,137.0,0.217,0.878,0.051,p_squat
137.0,138.0,0.411,0.822,0.203,p_squat
138.0,139.0,0.277,0.924,0.048,p_squat
139.0,140.0,0.272,0.923,0.041,p_squat
140.0,141.0,0.287,0.922,0.034,p_squat
141.0,142.0,0.309,0.888,-0.107,p_squat
142.0,143.0,-0.6,0.558,0.029,p_squat
143.0,144.0,-0.426,0.689,0.513,p_squat
144.0,145.0,-0.169,0.805,0.516,p_squat
145.0,146.0,0.198,0.973,0.228,p_squat
146.0,147.0,0.097,0.735,0.385,p_squat
147.0,148.0,-0.717,0.077,-0.36,p_squat
148.0,149.0,-0.854,0.349,-0.012,p_squat
149.0,150.0,-0.82,0.466,0.089,p_squat
150.0,151.0,-0.83,0.458,0.079,p_squat
151.0,152.0,-0.827,0.458,0.066,p_squat
152.0,153.0,-0.83,0.452,0.065,p_squat
153.0,154.0,-0.836,0.442,0.063,p_squat
154.0,155.0,-0.843,0.441,0.084,p_squat
155.0,156.0,-0.862,0.297,-0.161,p_squat
156.0,157.0,-0.825,0.312,-0.215,p_squat
157.0,158.0,-0.84,0.261,-0.258,p_squat
158.0,159.0,-0.848,0.257,-0.28,p_squat
159.0,160.0,-0.898,0.257,-0.334,p_squat
160.0,161.0,-0.787,0.376,0.073,p_squat
161.0,162.0,-0.828,0.461,0.09,p_squat
162.0,163.0,-0.807,0.487,0.105,p_squat
163.0,164.0,-0.814,0.481,0.089,p_squat
164.0,165.0,-0.774,0.399,0.035,p_squat
165.0,166.0,-0.95,0.342,-0.146,p_squat
166.0,167.0,-0.67,0.622,-0.103,p_squat
167.0,168.0,-0.707,0.591,-0.123,p_squat
168.0,169.0,-0.788,0.485,-0.1,p_squat
169.0,170.0,-0.929,0.313,-0.165,p_squat
170.0,171.0,-0.773,0.512,-0.034,p_squat
171.0,172.0,-0.84,0.41,0.124,p_squat
172.0,173.0,-0.855,0.43,0.137,p_squat
173.0,174.0,-0.911,0.198,0.113,p_squat
174.0,175.0,-0.882,0.252,0.15,p_squat
175.0,176.0,-0.799,0.345,-0.164,p_squat
176.0,177.0,-0.254,0.66,0.74,p_squat
177.0,178.0,-0.144,0.76,0.458,p_squat
178.0,179.0,-0.112,0.879,0.465,p_squat
179.0,180.0,,,,p_squat
180.0,181.0,-0.103,0.891,0.478,p_squat
181.0,182.0,-0.448,0.525,0.189,p_squat
182.0,183.0,-0.031,0.71,0.001,p_squat
183.0,184.0,0.469,0.819,0.316,p_squat
184.0,185.0,-0.172,0.968,0.073,p_squat
185.0,186.0,-0.259,0.921,0.16,p_squat
186.0,187.0,0.184,0.818,0.024,p_squat
187.0,188.0,0.425,0.822,-0.243,p_squat
188.0,189.0,0.199,0.934,-0.028,p_squat
189.0,190.0,0.164,0.943,-0.005,p_squat
190.0,191.0,0.155,0.946,0.012,p_squat
191.0,192.0,0.385,0.9,0.035,p_squat
192.0,193.0,0.431,0.754,0.047,p_squat
193.0,194.0,-0.29,0.884,-0.318,p_squat
194.0,195.0,-0.288,0.84,-0.269,p_squat
195.0,196.0,-0.288,0.836,-0.27,p_squat
196.0,197.0,-0.282,0.856,-0.247,p_squat
197.0,198.0,-0.18,0.889,-0.022,p_squat
198.0,199.0,-0.576,0.774,0.165,p_squat
199.0,200.0,0.11,0.743,0.524,p_squat
200.0,201.0,,,,p_squat
201.0,202.0,0.342,0.648,-0.03,p_squat
202.0,203.0,0.497,0.792,0.277,p_squat
203.0,204.0,-0.727,0.282,-0.317,p_squat
204.0,205.0,-0.75,0.363,0.055,p_squat
205.0,206.0,-0.825,0.462,0.03,p_squat
206.0,207.0,-0.81,0.48,0.105,p_squat
207.0,208.0,-0.832,0.455,0.074,p_squat
208.0,209.0,-0.814,0.478,0.099,p_squat
209.0,210.0,-0.832,0.458,0.09,p_squat
210.0,211.0,-0.826,0.458,0.102,p_squat
211.0,212.0,-0.819,0.468,0.089,p_squat
212.0,213.0,-0.818,0.443,0.086,p_squat
213.0,214.0,-0.769,0.251,-0.226,p_squat
214.0,215.0,-0.74,0.25,-0.364,p_squat
215.0,216.0,-0.775,0.328,-0.341,p_squat
216.0,217.0,-0.797,0.313,-0.308,p_squat
217.0,218.0,-0.804,0.329,-0.332,p_squat
218.0,219.0,-0.847,0.302,-0.296,p_squat
219.0,220.0,-0.774,0.445,0.074,p_squat
220.0,221.0,-0.841,0.439,0.078,p_squat
221.0,222.0,-0.849,0.412,0.079,p_squat
222.0,223.0,-0.843,0.345,0.122,p_squat
223.0,224.0,-0.989,0.217,-0.155,p_squat
224.0,225.0,-0.889,0.307,-0.043,p_squat
225.0,226.0,-0.835,0.474,0.093,p_squat
226.0,227.0,-0.833,0.455,0.029,p_squat
227.0,228.0,-0.734,0.381,0.059,p_squat
228.0,229.0,-0.854,0.406,0.109,p_squat
229.0,230.0,-0.754,0.434,0.08,p_squat
230.0,231.0,-0.85,0.511,-0.034,p_squat
231.0,232.0,-0.82,0.461,0.098,p_squat
232.0,233.0,-0.766,0.384,-0.068,p_squat
233.0,234.0,-0.443,0.868,0.08,p_squat
234.0,235.0,0.21,0.93,-0.008,p_squat
235.0,236.0,0.241,0.924,-0.049,p_squat
236.0,237.0,0.23,0.928,-0.012,p_squat
237.0,238.0,0.275,0.964,-0.05,p_squat
238.0,239.0,-0.473,0.731,0.14,p_squat
239.0,240.0,0.102,0.754,0.092,p_squat
240.0,241.0,0.71,0.366,0.642,p_squat
241.0,242.0,0.639,0.34,0.744,p_squat
242.0,243.0,0.641,0.335,0.752,p_squat
243.0,244.0,0.63,0.329,0.735,p_squat
244.0,245.0,0.419,0.858,-0.078,p_squat
245.0,246.0,0.628,0.633,-0.464,p_squat
246.0,247.0,0.302,0.732,-0.466,p_squat
247.0,248.0,,,,p_squat
248.0,249.0,,,,p_squat
249.0,250.0,0.267,0.743,-0.468,p_squat
250.0,251.0,0.479,0.764,-0.158,p_squat
251.0,252.0,0.379,0.833,-0.143,p_squat
252.0,253.0,-0.117,0.641,-0.617,p_squat
253.0,254.0,-0.222,0.62,-0.608,p_squat
254.0,255.0,-0.225,0.614,-0.606,p_squat
255.0,256.0,-0.229,0.616,-0.606,p_squat
256.0,257.0,0.033,0.717,-0.496,p_squat
257.0,258.0,-0.412,0.74,-0.341,p_squat
258.0,259.0,-0.125,0.77,0.431,p_squat
259.0,260.0,0.377,0.829,0.418,p_squat
260.0,261.0,0.116,0.495,0.331,p_squat
261.0,262.0,0.149,0.93,0.322,p_squat
262.0,263.0,0.18,0.856,0.43,p_squat
263.0,264.0,-0.81,-0.01,-0.634,p_squat
264.0,265.0,-0.724,0.347,0.017,p_squat
265.0,266.0,-0.841,0.415,-0.045,p_squat
266.0,267.0,-0.709,0.825,0.292,p_squat
267.0,268.0,0.228,-0.72,0.616,p_squat
268.0,269.0,0.321,-0.637,0.701,p_squat
269.0,270.0,-0.18,0.594,0.418,p_squat
270.0,271.0,-0.893,0.562,0.302,p_squat
271.0,272.0,-0.748,0.361,0.111,p_squat
272.0,273.0,-0.857,0.332,-0.31,p_squat
273.0,274.0,-0.818,0.351,-0.258,p_squat
274.0,275.0,,,,p_squat
275.0,276.0,-0.821,0.35,-0.242,p_squat
276.0,277.0,-0.911,0.328,-0.343,p_squat
277.0,278.0,-0.03,0.299,0.272,p_squat
278.0,279.0,0.764,-0.232,0.667,p_squat
279.0,280.0,0.763,-0.154,0.684,p_squat
280.0,281.0,0.51,0.028,0.562,p_squat
281.0,282.0,-0.907,0.554,0.151,p_squat
282.0,283.0,-0.789,0.462,0.014,p_squat
283.0,284.0,-0.89,0.311,-0.074,p_squat
284.0,285.0,-0.845,0.479,-0.087,p_squat
285.0,286.0,-0.817,0.424,-0.113,p_squat
286.0,287.0,-0.802,0.455,-0.154,p_squat
287.0,288.0,-0.967,0.236,-0.141,p_squat
288.0,289.0,-0.757,0.448,-0.055,p_squat
289.0,290.0,-0.808,0.476,0.14,p_squat
290.0,291.0,-0.831,0.46,0.154,p_squat
291.0,292.0,-0.878,0.305,0.177,p_squat
292.0,293.0,-0.831,0.36,0.11,p_squat
293.0,294.0,-0.646,0.423,-0.018,p_squat
294.0,295.0,-0.013,0.882,0.449,p_squat
295.0,296.0,-0.044,0.89,0.459,p_squat
296.0,297.0,-0.053,0.891,0.48,p_squat
297.0,298.0,-0.344,0.405,0.728,p_squat
298.0,299.0,-0.298,0.582,0.931,p_squat
299.0,300.0,-0.406,0.758,0.034,p_squat
300.0,301.0,0.384,0.527,0.477,p_squat
301.0,302.0,0.55,0.181,0.896,p_squat
302.0,303.0,0.538,0.136,0.892,p_squat
303.0,304.0,0.544,0.152,0.901,p_squat
304.0,305.0,0.541,0.154,0.904,p_squat
305.0,306.0,0.553,0.426,0.713,p_squat
306.0,307.0,0.734,0.479,-0.172,p_squat
307.0,308.0,0.694,0.355,-0.536,p_squat
308.0,309.0,0.76,0.458,0.429,p_squat
309.0,310.0,,,,p_squat
310.0,311.0,0.572,0.392,0.788,p_squat
311.0,312.0,,,,p_squat
312.0,313.0,0.639,0.602,0.118,p_squat
313.0,314.0,0.785,0.376,-0.025,p_squat
314.0,315.0,0.836,0.457,0.261,p_squat
315.0,316.0,,,,p_squat
316.0,317.0,0.184,0.729,0.276,p_squat
317.0,318.0,0.301,0.403,0.706,p_squat
318.0,319.0,0.846,0.012,0.376,p_squat
319.0,320.0,0.865,0.521,-0.016,p_squat
320.0,321.0,0.124,0.564,-0.524,p_squat
321.0,322.0,0.341,0.868,0.383,p_squat
322.0,323.0,0.519,0.785,0.336,p_squat
323.0,324.0,0.496,0.809,0.293,p_squat
324.0,325.0,0.481,0.823,0.271,p_squat
325.0,326.0,-0.433,0.579,-0.575,p_squat
326.0,327.0,-0.116,0.896,0.044,p_squat
327.0,328.0,-0.21,0.979,-0.001,p_squat
328.0,329.0,-0.785,0.495,0.078,p_squat
329.0,330.0,-0.874,0.354,0.049,p_squat
330.0,331.0,-0.883,0.338,0.06,p_squat
331.0,332.0,-0.876,0.352,0.078,p_squat
332.0,333.0,-0.876,0.36,0.082,p_squat
333.0,334.0,-0.791,0.321,0.055,p_squat
334.0,335.0,-0.912,0.313,-0.279,p_squat
335.0,336.0,-0.859,0.315,-0.225,p_squat
336.0,337.0,-0.843,0.3,-0.216,p_squat
337.0,338.0,-0.841,0.302,-0.22,p_squat
338.0,339.0,-0.923,0.297,-0.197,p_squat
339.0,340.0,-0.722,0.516,0.051,p_squat
340.0,341.0,-0.754,0.552,0.047,p_squat
341.0,342.0,-0.809,0.493,0.076,p_squat
342.0,343.0,-0.824,0.465,0.081,p_squat
343.0,344.0,-0.838,0.326,-0.062,p_squat
344.0,345.0,-0.734,0.322,-0.236,p_squat
345.0,346.0,-0.92,0.268,-0.09,p_squat
346.0,347.0,,,,p_squat
347.0,348.0,,,,p_squat
348.0,349.0,,,,p_squat
349.0,350.0,-0.858,0.334,-0.123,p_squat
350.0,351.0,-0.818,0.473,0.115,p_squat
351.0,352.0,-0.796,0.506,0.162,p_squat
352.0,353.0,-0.766,0.546,0.053,p_squat
353.0,354.0,-0.81,0.492,0.071,p_squat
354.0,355.0,-0.821,0.387,-0.053,p_squat
355.0,356.0,-0.636,0.42,-0.207,p_squat
356.0,357.0,-0.096,0.846,-0.148,p_squat
357.0,358.0,,,,p_squat
358.0,359.0,,,,p_squat
359.0,360.0,,,,p_squat
