start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,room
47.0,48.0,285.768,120.297,2.97,3.315,988.838,-2.627,2242.487,19.314,25.709,25.89,59.0,146.333,4.0,22.201,488.59,-1151.122,60.0,30.311,162.384,kitchen
48.0,49.0,243.65,98.593,31.977,4.68,584.883,148.432,1968.007,239.939,35.745,70.308,74.667,196.067,15.976,10.023,530.732,-1351.768,60.0,105.026,43.75,kitchen
49.0,50.0,125.499,119.151,29.702,8.001,-211.513,6.536,1791.077,182.795,50.204,51.11,94.467,188.0,4.951,15.788,586.086,-1186.11,60.0,42.913,122.123,kitchen
50.0,51.0,77.226,115.648,3.663,10.794,-475.334,24.022,1638.597,15.463,62.245,26.714,88.933,193.6,2.851,19.17,493.553,-1112.365,60.0,13.583,93.772,kitchen
51.0,52.0,81.421,119.436,2.706,1.891,-468.485,3.41,1700.707,12.061,11.249,16.562,82.267,190.8,4.802,7.454,474.732,-1140.892,60.0,23.867,52.085,kitchen
52.0,53.0,87.135,119.895,0.283,1.732,-433.625,0.67,1697.056,3.079,10.304,8.798,76.931,193.828,4.017,2.547,443.073,-1156.499,60.0,21.791,19.323,kitchen
53.0,54.0,87.99,123.442,3.415,0.821,-425.513,-20.331,1685.54,18.016,4.841,11.429,90.133,188.933,3.212,2.337,517.178,-1120.37,60.0,22.816,19.964,kitchen
54.0,55.0,156.217,116.606,37.325,4.942,-18.57,21.318,1733.662,229.981,31.191,40.879,87.133,197.933,12.132,2.175,530.325,-1206.694,60.0,81.269,32.611,kitchen
55.0,56.0,272.533,103.256,21.314,20.93,814.291,113.487,2036.034,209.437,164.919,160.226,54.533,175.2,23.876,41.848,400.732,-1231.445,60.0,141.317,243.316,kitchen
56.0,57.0,301.546,180.04,2.053,1.176,1181.015,-500.884,2379.22,22.635,7.814,11.222,12.5,29.5,5.172,8.047,133.7,-258.168,60.0,42.179,66.117,kitchen
58.0,59.0,280.672,107.761,11.628,6.238,841.633,83.726,1983.34,107.332,41.529,80.517,66.125,173.0,29.572,24.85,476.013,-1199.111,60.0,185.663,147.959,kitchen
59.0,60.0,178.965,107.296,42.592,3.929,121.262,83.224,1872.513,278.97,24.943,27.958,76.533,200.133,12.096,4.863,505.834,-1316.999,60.0,80.176,42.747,kitchen
60.0,61.0,74.063,98.302,13.719,6.148,-682.985,173.919,2240.243,154.477,59.655,165.702,73.267,179.8,6.169,10.54,556.888,-1407.216,60.0,60.498,36.142,kitchen
61.0,62.0,59.599,82.125,1.571,4.089,-956.05,362.156,2716.916,21.318,50.849,97.559,76.538,154.0,6.891,11.809,708.531,-1461.716,60.0,88.346,79.335,kitchen
62.0,63.0,54.501,74.717,2.556,3.159,-1021.717,438.505,2762.077,20.406,29.459,14.976,80.75,158.5,0.661,11.079,758.627,-1529.855,60.0,7.114,103.358,kitchen
63.0,64.0,60.923,74.048,4.002,2.661,-982.269,455.649,2828.625,27.973,24.001,35.85,66.933,167.0,13.569,0.0,640.631,-1650.484,60.0,127.269,20.994,kitchen
64.0,65.0,61.831,77.367,2.219,1.433,-962.757,418.527,2797.875,11.16,22.086,59.053,59.966,167.0,8.608,0.0,565.481,-1632.477,60.0,73.246,34.582,kitchen
65.0,66.0,51.5,84.224,6.075,3.27,-980.051,324.266,2579.495,30.11,37.204,65.471,68.467,177.067,4.064,6.314,595.243,-1595.549,60.0,27.543,36.25,kitchen
66.0,67.0,42.037,86.959,4.502,1.525,-1018.686,285.493,2463.848,26.881,14.116,33.27,69.667,181.733,4.742,0.964,578.048,-1565.73,60.0,45.47,24.169,kitchen
67.0,68.0,94.885,81.511,21.688,3.098,-628.863,376.759,2784.898,189.979,41.737,94.277,50.667,142.0,5.088,28.485,480.641,-1372.902,60.0,45.561,231.606,kitchen
68.0,69.0,144.968,83.059,1.026,8.164,-167.063,409.555,3171.952,9.688,84.739,47.106,57.0,79.8,0.0,9.432,630.58,-881.833,60.0,9.718,91.175,kitchen
69.0,70.0,147.255,102.311,0.0,0.0,-149.716,207.784,3349.842,0.0,0.0,0.0,51.0,51.0,0.0,0.0,597.297,-597.718,60.0,0.0,0.0,kitchen
70.0,71.0,150.15,111.371,0.289,0.779,-113.086,99.082,3273.972,3.191,9.067,4.238,54.333,48.333,1.886,1.886,620.781,-554.376,60.0,20.73,21.672,kitchen
71.0,72.0,150.661,110.442,0.036,0.092,-106.837,109.352,3262.458,0.387,1.079,0.818,53.0,49.0,0.0,1.633,603.498,-560.124,60.0,0.152,18.746,kitchen
72.0,73.0,151.954,105.94,0.281,0.26,-92.804,162.175,3289.287,3.293,2.912,1.7,53.0,46.0,0.0,1.0,608.485,-529.947,60.0,0.316,11.365,kitchen
73.0,74.0,152.715,105.363,0.23,0.282,-84.047,168.875,3290.039,2.588,3.347,2.783,53.0,47.0,0.0,0.0,608.624,-541.716,60.0,0.517,0.459,kitchen
74.0,75.0,152.875,105.25,0.317,0.069,-82.492,170.778,3301.841,3.519,1.121,6.16,53.0,47.0,0.0,0.0,610.818,-543.661,60.0,1.145,1.015,kitchen
75.0,76.0,150.719,111.763,1.318,2.439,-105.852,94.343,3256.868,14.023,28.603,32.812,51.889,50.333,2.514,1.886,590.204,-574.142,60.0,33.169,26.117,kitchen
76.0,77.0,152.14,116.815,1.581,0.536,-87.988,35.664,3194.998,17.311,5.914,15.497,51.4,49.0,1.497,0.0,573.898,-548.67,60.0,14.714,2.663,kitchen
77.0,78.0,150.889,116.027,0.263,0.377,-102.079,44.506,3195.005,2.895,4.164,6.806,49.286,48.714,1.666,0.7,550.36,-545.427,60.0,19.3,7.051,kitchen
78.0,79.0,150.095,116.221,0.202,0.334,-110.851,42.293,3191.324,2.327,3.709,1.844,48.0,49.0,1.0,0.0,535.264,-548.039,60.0,10.775,0.317,kitchen
79.0,80.0,151.821,116.513,0.299,2.213,-92.079,39.187,3210.286,3.635,24.723,10.054,48.6,48.6,0.8,0.8,545.14,-546.776,60.0,8.275,10.56,kitchen
80.0,81.0,151.08,117.756,0.952,0.179,-100.4,25.263,3210.768,10.482,1.962,8.206,49.0,49.0,0.0,0.0,549.697,-551.38,60.0,1.41,1.41,kitchen
81.0,82.0,158.174,107.354,1.84,0.655,-20.84,146.209,3294.933,20.998,9.358,40.292,59.0,64.0,2.0,5.0,681.456,-737.442,60.0,32.076,66.288,kitchen
82.0,83.0,159.587,107.535,0.548,0.685,-4.833,146.456,3350.319,6.444,8.198,10.215,60.5,67.5,0.866,3.841,710.91,-789.903,60.0,8.122,44.515,kitchen
84.0,85.0,160.069,107.329,0.564,0.529,0.837,150.018,3375.744,6.658,6.893,16.447,62.6,67.8,1.497,1.6,741.291,-799.615,60.0,20.678,21.869,kitchen
85.0,86.0,156.515,108.981,2.097,1.176,-40.24,128.683,3324.646,23.8,15.739,52.562,58.0,64.0,3.0,5.0,676.531,-744.536,60.0,45.981,69.773,kitchen
