start,end,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr
42.0,43.0,0.35133,0.64011,0.9579,0.08892,0.35188,0.33619,0.13646,0.29838,0.70258,0.14392,0.07079,0.3085,0.62501,0.05407,0.26506,0.79492,0.11032,0.15158,0.92055,0.9328,0.17004,0.6603,0.92912,0.48672,0.54299,0.78974,0.74679
43.0,44.0,0.21486,0.83453,0.55571,0.33303,0.60436,0.2086,0.24111,0.23412,0.59065,0.28051,0.39833,0.68779,0.83187,0.24454,0.45857,0.7401,0.34457,0.38461,0.26307,0.56029,0.36522,0.47001,0.59979,0.24214,0.72053,0.58248,0.57021
44.0,45.0,0.38557,0.88711,0.67469,0.21026,0.29428,0.39949,0.27876,0.37534,0.63902,0.22148,0.15168,0.78309,0.8603,0.10349,0.38762,0.89695,0.25868,0.3364,0.45173,0.68993,0.42619,0.56717,0.55396,0.36701,0.25719,0.60789,0.36801
45.0,46.0,0.6237,0.67667,0.96758,0.08781,0.20091,0.61316,0.21019,0.53973,0.78093,0.12197,0.08345,0.37876,0.62746,0.20631,0.35053,0.76446,0.21378,0.16185,0.93882,0.93598,0.24624,0.72998,0.91018,0.57629,0.11627,0.29977,0.89511
46.0,47.0,0.81721,0.62111,0.89245,0.10651,0.512,0.81772,0.09887,0.61146,0.86728,0.1688,0.06145,0.27201,0.57746,0.10135,0.30618,0.7868,0.1601,0.09131,0.79705,0.91269,0.20659,0.60871,0.86069,0.42041,0.21853,0.64794,0.12798
47.0,48.0,0.39884,0.91031,0.81219,0.15064,0.2823,0.37518,0.20213,0.3873,0.68659,0.16344,0.15851,0.82766,0.87353,0.15907,0.44527,0.88934,0.32847,0.17856,0.64561,0.81322,0.1633,0.54372,0.8393,0.33687,0.614,0.43114,0.67204
48.0,49.0,0.33751,0.87542,0.67944,0.19094,0.37746,0.32809,0.15309,0.30212,0.68139,0.16978,0.13753,0.76064,0.84902,0.10359,0.38601,0.86193,0.25673,0.3473,0.41146,0.70263,0.25756,0.49614,0.67067,0.27573,0.38693,0.42225,0.69719
49.0,50.0,0.37813,0.92133,0.5031,0.15135,0.3023,0.3848,0.14373,0.31931,0.68939,0.16002,0.26257,0.84884,0.88873,0.22028,0.49848,0.88375,0.39289,0.17908,0.2099,0.43753,0.33706,0.4345,0.62362,0.19649,0.23907,0.73177,0.44691
50.0,51.0,0.33874,0.89646,0.54177,0.5809,0.45534,0.45974,0.61235,0.50162,0.48991,0.40343,0.81123,0.94687,0.54854,1.0,0.88994,0.61015,0.86677,0.36878,0.15515,0.51267,0.19588,0.41909,0.67128,0.17669,0.02184,0.1279,0.82167
51.0,52.0,0.3387,0.9714,0.59479,0.52506,0.38476,0.35493,0.4194,0.37236,0.52868,0.35611,0.66889,0.95867,0.89167,0.62981,0.80286,0.72436,0.76135,0.41758,0.26094,0.55183,0.33348,0.58258,0.64867,0.38682,0.02988,0.14512,0.818
52.0,53.0,0.35179,0.91147,0.63019,0.02354,0.35103,0.34581,0.05947,0.24309,0.72217,0.12002,0.03356,0.8299,0.88775,0.02724,0.36303,0.95228,0.22891,0.03807,0.3022,0.61585,0.04868,0.40033,0.78065,0.15257,0.79092,0.81467,0.65448
53.0,54.0,0.36598,0.92601,0.56978,0.05184,0.32479,0.31797,0.13171,0.29689,0.71977,0.12295,0.03034,0.85783,0.87794,0.09304,0.41906,0.95584,0.29675,0.07536,0.23724,0.59416,0.23366,0.3943,0.65967,0.14482,0.75008,0.22646,0.05403
54.0,55.0,0.38086,0.95523,0.50288,0.15831,0.29725,0.37771,0.15334,0.31931,0.69338,0.15514,0.16291,0.91398,0.94216,0.14011,0.45454,0.91827,0.33969,0.22497,0.15472,0.49838,0.26065,0.42579,0.59246,0.1853,0.29007,0.47589,0.44169
55.0,56.0,0.36026,0.88093,0.67972,0.19172,0.36837,0.33265,0.26571,0.47622,0.6686,0.18539,0.18769,0.77122,0.83628,0.18956,0.41584,0.85837,0.29284,0.31461,0.43855,0.63014,0.42897,0.63886,0.58146,0.45916,0.27155,0.80142,0.25506
56.0,57.0,0.60435,0.72848,0.943,0.17573,0.22465,0.53974,0.2907,0.63537,0.77494,0.18441,0.11801,0.47831,0.65981,0.18941,0.3602,0.80761,0.22549,0.22789,0.89245,0.92963,0.23136,0.66566,0.84175,0.49361,0.77467,0.36458,0.25436
57.0,58.0,0.49865,0.88949,0.85385,0.29771,0.28223,0.46632,0.34086,0.53076,0.69338,0.15514,0.26725,0.78767,0.90637,0.25807,0.46301,0.81573,0.34994,0.36538,0.72423,0.84814,0.33897,0.69514,0.78309,0.5315,0.44264,0.31469,0.51314
58.0,59.0,0.35914,0.86658,0.74406,0.16688,0.33744,0.3605,0.15758,0.28867,0.65581,0.201,0.15149,0.74364,0.85245,0.11467,0.38036,0.86751,0.2499,0.26872,0.51706,0.71691,0.22233,0.60067,0.80631,0.41007,0.42081,0.41906,0.86049
59.0,60.0,0.41244,0.83915,0.70738,0.13907,0.23884,0.3848,0.10266,0.32379,0.73336,0.10636,0.18603,0.69094,0.82451,0.13262,0.3848,0.86802,0.25526,0.11392,0.44785,0.69363,0.0717,0.46197,0.81914,0.2318,0.40255,0.51847,0.72443
60.0,61.0,0.49758,0.81775,0.90549,0.23974,0.30247,0.47392,0.3474,0.50386,0.69978,0.14734,0.24592,0.64982,0.78873,0.27081,0.49848,0.7868,0.39289,0.39055,0.82167,0.91534,0.38292,0.69447,0.80509,0.53064,0.12751,0.78572,0.31258
